category,cost,clicks
influencer,0.0731,0
jkl,0.0059,0
social,0.0308,0
social,8.061,71
search,0.0043,22
social,0.0337,1
jkl,0.0151,0
jkl,0.0225,0
jkl,0.1361,1
jkl,0.0076,0
jkl,0.5069,9
social,46.0516,2096
social,2.8484,48
social,0.0303,2
search,0.6986,43
social,0.0011,0
jkl,0.0015,0
jkl,0.0058,0
jkl,0.3655,7
jkl,0.054,0
search,0.1426,13
search,1.0586,31
search,0.0141,0
search,1.104,9
search,0.1626,9
social,0.0027,0
search,0.121,1
search,0.0001,0
search,0.0098,0
social,6.6698,71
search,0.0123,0
search,0.2808,7
,0.0026,0
jkl,0.0036,0
jkl,0.0042,0
social,0.0113,9
social,2.9648,202
influencer,1.1896,8
social,1.3124,130
social,94.4203,701
influencer,2.9469,41
jkl,2.2202,11
search,0.2305,3
jkl,0.0113,0
social,0.4572,43
social,221.0251,1041
search,0.1226,2
social,16.1451,131
jkl,0.005,0
jkl,0.2366,3
jkl,0.405,14
search,1.3206,55
search,63.8312,260
social,0.0475,1
influencer,0.0043,0
search,1.5896,68
social,0.0149,0
jkl,0.009,0
search,0.2634,5
jkl,0.1057,1
search,0.0462,6
social,384.4477,1624
search,0.0197,0
jkl,6.5848,111
influencer,7.1757,82
search,0.2824,2
influencer,1.7851,98
social,0.8535,9
search,0.7207,9
search,0.0061,0
influencer,0.8861,17
social,0.1676,3
social,0.5038,31
influencer,0.172,1
social,97.8815,434
influencer,0.0232,0
,0.0034,0
social,4.5431,43
social,209.7177,1086
social,0.7718,13
social,0.0175,2
jkl,0.7338,26
influencer,6.9824,107
search,7.6061,37
search,0.4566,3
social,3.6499,60
jkl,0.0035,0
search,3.1877,29
influencer,0.0132,0
influencer,0.0576,2
jkl,1.4433,14
social,0.0539,0
jkl,0.0122,0
influencer,1.2284,53
search,0.0021,0
influencer,111.3258,2353
influencer,0.0471,0
influencer,0.026,0
search,0.3519,4
influencer,0.0025,0
search,28.7436,149
jkl,0.0213,0
influencer,0.9917,9
influencer,49.9775,1360
jkl,0.0117,0
search,0.0151,0
influencer,17.8738,234
social,0.6093,25
social,3.8768,252
social,0.0016,0
social,1.8621,18
jkl,0.0227,0
jkl,0.0011,0
influencer,0.037,2
social,3.0391,133
social,1.5488,104
influencer,0.4247,2
influencer,0.2402,3
influencer,0.1177,1
jkl,0.0298,2
influencer,0.7467,35
jkl,0.0038,0
jkl,0.0026,0
influencer,1.5072,108
,0.011,0
search,0.2221,10
influencer,0.667,7
social,0.0006,0
search,76.9999,442
social,15.5577,139
influencer,0.3784,14
jkl,0.217,4
influencer,0.0012,0
search,0.0556,0
social,131.8571,615
influencer,9.9332,330
social,0.0131,0
,0.0032,0
jkl,0.0054,0
jkl,2.2134,45
jkl,0.0131,0
search,6426.0,893
jkl,0.0027,0
search,1.2966,13
jkl,0.2053,2
jkl,0.3306,7
influencer,6.1951,46
search,0.5654,5
social,0.5045,42
search,42.1656,204
influencer,39.9268,1042
jkl,0.0201,0
search,3.3303,20
influencer,0.0976,0
influencer,0.0814,0
influencer,3.8375,111
social,0.1535,3
,0.0006,0
jkl,0.0075,0
search,12581.6,1205
influencer,1.0596,10
jkl,0.0003,0
social,0.0009,0
search,0.1,5
influencer,11.2618,426
search,9.4,48
search,0.0186,1
jkl,0.02,0
search,0.2012,3
search,17.3983,881
social,0.0012,0
influencer,1.7313,100
influencer,6.0305,101
social,3.4543,148
social,85.3372,468
influencer,0.0024,0
search,0.0184,0
influencer,0.0588,0
search,23.5782,133
jkl,0.0008,0
influencer,11.5244,97
social,2.6483,156
influencer,0.0663,1
social,29.8327,2005
jkl,0.0345,0
search,0.7858,9
jkl,0.2125,2
jkl,0.0886,7
social,0.0041,0
search,0.2967,29
social,6.1793,43
search,2.1823,73
influencer,0.0021,0
influencer,1.5873,35
search,0.002,1
jkl,0.0003,0
search,34.571,153
influencer,4.6136,56
social,4.8674,77
social,0.0088,0
search,0.1203,3
search,0.0208,0
influencer,0.0008,0
jkl,0.0938,0
social,78.5331,471
search,0.001,0
jkl,0.0006,0
influencer,0.0057,0
search,2.7912,24
,0.0006,0
search,0.3585,1
influencer,0.0012,0
social,0.5661,44
search,0.9696,13
jkl,0.107,6
influencer,1.9475,100
jkl,0.0015,0
influencer,197161.0,13506
search,0.1069,0
social,4.8905,307
influencer,0.0526,0
search,0.1738,3
media,25023.2,4208
social,0.022,0
influencer,0.0118,0
search,0.0127,0
influencer,0.0324,0
jkl,0.304,3
jkl,0.0026,0
influencer,0.0011,0
influencer,0.0039,0
search,1.34,76
social,404737.0,32395
jkl,0.0087,0
social,0.0147,0
search,0.2947,2
influencer,0.2455,0
social,18.548,211
search,0.1655,3
influencer,176.8524,8984
jkl,1.9027,38
social,5.5762,122
social,3.32,104
influencer,8.06,222
influencer,21.9762,823
social,0.2882,13
influencer,1.0955,23
jkl,0.0006,0
influencer,0.0068,0
search,1.3099,31
search,0.0008,0
influencer,1.3129,21
jkl,0.4073,2
search,1.2491,57
influencer,0.8293,17
social,3.325,31
jkl,12.3021,1076
jkl,0.0465,0
search,5.2019,48
social,0.0928,2
jkl,0.0006,0
search,0.0811,4
social,0.4926,18
social,1.7658,99
jkl,0.0015,0
influencer,6.1899,99
social,1.078,44
influencer,19.6715,767
influencer,0.0331,0
social,0.0025,0
jkl,0.0008,0
social,7.0855,40
search,1.811,81
social,0.0007,0
social,1.4337,22
jkl,0.0033,0
search,0.6514,13
search,10.0631,44
jkl,0.6712,6
social,6.6036,351
social,0.0095,0
search,0.3798,20
jkl,16.8376,268
social,4.5331,33
influencer,0.0179,0
influencer,0.1936,2
social,0.6929,8
jkl,0.4121,1
social,33.0858,197
jkl,0.0191,0
search,1.1694,13
social,3.0873,248
influencer,0.0839,2
jkl,0.0099,0
jkl,0.0175,0
social,104.1494,878
jkl,0.0077,0
influencer,2.7266,28
social,0.0028,0
social,9.025,50
influencer,0.0003,0
jkl,0.0006,0
influencer,0.0085,0
jkl,0.1082,4
jkl,0.0011,0
jkl,0.0061,0
jkl,8.5749,199
,0.0192,0
influencer,0.0171,0
search,0.0307,1
social,0.0108,0
social,0.1117,4
influencer,12.4544,154
jkl,0.0304,1
social,1.7689,93
influencer,0.0004,0
search,2.9968,29
search,10.9554,57
social,1.127,77
search,36.3597,188
jkl,0.1721,3
jkl,1.2284,7
social,0.2915,5
search,0.2302,2
social,7.8852,105
influencer,0.5262,16
social,3.4867,15
social,0.8054,44
social,8.8901,117
social,99.7965,572
jkl,0.1187,1
search,0.4246,8
social,3.7311,130
search,2.3665,28
search,0.2287,9
social,760.75,1024
search,0.0988,5
influencer,1.9994,11
social,0.2893,11
influencer,7.6335,59
influencer,0.0112,0
social,0.8248,9
search,0.1455,5
search,0.1159,2
jkl,1.4656,36
social,0.0058,1
search,2.2634,91
influencer,0.1463,1
social,0.0439,1
social,0.1584,6
jkl,0.0189,0
jkl,0.7592,7
search,82.4026,293
influencer,0.1699,10
,0.0064,0
jkl,0.002,0
social,2.869,202
social,16.8081,154
influencer,9.6481,156
search,0.0098,0
influencer,0.6818,13
search,0.3066,9
influencer,0.977,25
social,5.7072,304
social,39.3863,1783
jkl,0.106,2
social,1.0355,38
social,295.0607,1395
search,1.705,8
search,0.1959,4
search,0.081,0
social,4.3264,204
jkl,1.5668,37
influencer,2.7543,64
social,0.023,0
social,0.0011,0
search,0.0004,0
social,0.001,0
search,124854.0,16798
influencer,0.0001,0
jkl,0.0677,3
,0.0008,0
influencer,0.2726,5
jkl,0.043,0
search,0.0664,1
influencer,1.7502,36
influencer,92.9816,5110
jkl,1.5879,13
search,0.3668,1
jkl,0.3465,2
influencer,2.6195,83
jkl,0.0015,0
influencer,9.8551,65
influencer,3.661,68
social,0.3056,20
social,4.1299,224
social,0.0316,1
search,0.0343,0
social,3.1751,203
influencer,0.0027,0
social,0.2915,24
search,0.048,0
,0.0055,0
search,0.1235,1
social,2.4374,28
influencer,6.1334,77
search,3.0261,115
social,8.3163,89
jkl,0.0177,0
influencer,6.474,69
influencer,0.794,7
search,2.9801,35
influencer,0.023,0
social,115.5026,591
search,1.6494,49
influencer,0.0717,0
social,8.4972,137
social,0.056,3
search,22.9262,138
influencer,33.0356,333
influencer,0.2894,2
social,149.445,519
search,1.6224,33
social,1.2483,52
influencer,6.0354,130
jkl,0.0006,0
search,13.0325,65
search,0.329,9
search,5.8669,253
,0.0016,0
search,0.1653,12
influencer,37.3097,777
social,131236.0,2396
jkl,11.1612,192
jkl,0.0284,0
search,40.2945,218
social,22.7809,1766
search,44.4608,211
influencer,312.8761,8761
influencer,10.3599,421
social,0.7726,47
jkl,0.0809,0
search,0.0037,0
social,0.1153,3
search,3.0107,92
social,7.8909,89
jkl,0.002,0
influencer,0.0233,0
jkl,9.8054,631
social,0.113,0
social,1.8954,140
search,1.283,20
search,0.1358,2
social,0.0001,0
jkl,0.0029,0
jkl,0.0012,0
social,6.3531,34
social,1.073,2
social,14.0626,115
,0.0032,0
social,7.4193,332
influencer,17.6593,778
social,0.1279,0
jkl,0.4008,7
social,40119.2,20392
search,1.7994,82
jkl,0.9565,4
social,9.2469,48
search,4.8542,262
search,0.4486,15
search,0.4862,3
social,0.071,1
influencer,0.5416,6
influencer,0.9357,42
social,0.4474,7
influencer,0.0196,0
search,1.5686,10
social,7.5218,321
social,0.0235,1
search,1.1055,34
jkl,0.0031,0
influencer,15.3992,99
social,2.5521,7
influencer,0.0403,1
search,0.0046,0
jkl,0.0247,0
social,0.0217,0
social,0.537,42
jkl,0.0779,0
influencer,0.0395,0
jkl,0.1779,1
social,6.3988,238
search,0.0997,2
jkl,0.0115,0
jkl,0.0386,1
jkl,0.1629,0
social,3.7291,206
social,0.1537,6
jkl,0.5967,23
social,0.294,8
jkl,0.1519,2
search,64.9201,276
social,0.7711,5
jkl,0.0069,0
influencer,0.0256,0
search,0.0185,0
,0.0008,0
jkl,0.0019,0
social,29.6521,145
search,0.5364,6
social,2.4282,181
social,1.0517,52
social,0.4355,58
social,0.0007,0
social,21.1896,107
social,1.0806,65
influencer,0.3568,0
,0.0152,0
social,33.1929,259
search,1.8526,64
search,0.5475,11
search,0.0099,1
social,0.0808,0
search,60108.8,9591
social,0.0092,3
social,0.9673,77
social,0.3427,2
social,7.9516,58
influencer,0.4666,1
influencer,2.7535,36
social,0.3773,5
,0.0017,0
search,0.1491,13
jkl,0.0765,1
social,34.2558,2460
search,9.0061,42
influencer,0.0024,0
jkl,0.1781,3
influencer,10.1154,131
influencer,0.0478,0
social,4.7576,181
influencer,127.0788,1378
search,4.5437,31
,0.0112,0
jkl,0.0326,0
social,27.3858,1072
jkl,3.2863,74
search,1.211,9
social,0.0324,0
social,1.3768,107
search,0.0509,1
influencer,0.4452,5
search,23.8521,129
influencer,9.239,133
social,0.0331,2
jkl,0.0055,0
search,0.3078,15
social,0.8722,39
influencer,0.0061,0
influencer,6.2194,81
search,0.1364,9
jkl,0.0013,0
,0.0232,0
jkl,0.0047,0
influencer,0.0631,0
jkl,0.0519,0
social,0.1178,2
influencer,0.0004,0
social,6.9294,153
search,0.7919,40
jkl,0.2783,2
search,9.9743,524
social,20.4109,1318
social,2.7468,168
social,216.2068,698
social,0.5242,4
social,455831.0,39593
influencer,8.8199,40
social,0.3352,31
influencer,0.0331,0
jkl,2.4656,23
social,485.5104,2428
social,0.0021,0
jkl,1.2432,17
social,0.701,4
influencer,0.7187,1
influencer,19.9583,178
jkl,1.1325,20
search,0.0636,0
search,0.0165,0
social,0.3005,6
search,0.3588,8
jkl,7.6688,139
jkl,6.022,89
social,0.0063,2
social,9.6164,103
search,0.147,1
social,7.5723,356
social,0.7681,3
jkl,0.6118,19
influencer,0.0032,0
search,3.0008,27
social,180.8375,893
search,17.1508,219
social,0.7154,52
jkl,0.0158,0
search,0.3101,14
jkl,0.2769,4
search,0.1478,0
jkl,5.8763,32
jkl,0.3411,17
search,0.0433,5
influencer,0.0007,0
social,0.0016,1
social,0.5695,10
jkl,0.0322,0
search,0.0161,0
influencer,1.1361,31
jkl,0.0007,0
jkl,5.6961,87
influencer,0.9803,24
influencer,1.2012,74
search,2.0791,67
influencer,0.2062,3
social,2.2558,37
social,1.5212,19
influencer,0.1205,0
influencer,0.0113,0
influencer,208.0751,1235
social,1.4841,114
social,2.6643,162
social,0.1389,43
jkl,4.3518,30
search,0.2959,20
social,3.0055,171
influencer,0.0439,0
social,178.2025,1359
social,3.8491,35
influencer,10.9614,116
social,0.4576,10
jkl,0.0008,0
search,23.7138,175
social,0.0009,0
social,10.9275,64
social,124.9583,1027
social,40099.0,1202
search,10.1591,361
jkl,0.0472,0
jkl,0.002,0
search,1.0279,55
influencer,36.6545,766
jkl,2.0907,34
search,1.8266,93
jkl,0.0066,0
social,300.5117,1069
influencer,0.4604,8
influencer,0.0017,0
jkl,0.0131,0
social,0.7774,40
social,0.0002,0
social,0.0025,0
influencer,0.2416,3
search,2.648,26
jkl,7.0495,53
influencer,2.524,94
search,1.3703,19
jkl,0.0038,0
jkl,0.0013,0
jkl,2.0238,17
influencer,0.0698,0
search,0.1544,3
social,6.8379,277
influencer,0.0424,0
search,1.3118,40
influencer,0.0313,0
social,0.0038,0
social,3.8647,21
jkl,0.9325,33
social,0.1114,8
jkl,0.014,0
influencer,0.2375,0
jkl,0.1989,3
jkl,1.0362,1
influencer,1.0617,16
social,5.0773,291
search,50.5157,309
influencer,0.1708,0
search,0.0033,1
search,1.1865,14
influencer,1.4797,17
jkl,0.0145,0
jkl,0.011,0
influencer,41.7175,400
social,0.0016,0
search,0.0085,0
social,0.0271,0
influencer,10.9588,321
search,1.2516,15
social,0.0032,0
social,127.4468,881
social,0.0003,0
jkl,0.1082,1
jkl,0.2453,11
social,334.5504,1319
social,0.0407,0
search,0.0172,1
jkl,0.0077,0
influencer,0.6205,8
influencer,1.718,13
social,0.1516,1
influencer,0.0032,0
search,0.2315,0
jkl,0.0013,0
social,0.0001,0
social,308.5376,1346
jkl,0.003,0
jkl,0.0073,0
jkl,0.0704,0
social,0.8421,12
social,0.1855,4
influencer,328.8413,8302
,0.0048,0
social,6.1214,63
social,0.0156,0
search,6.2297,39
jkl,12.845,220
social,45.4911,218
social,0.0105,0
search,0.045,3
search,0.3015,4
jkl,2.5726,10
social,48.1883,284
social,1.7242,134
search,0.1605,3
search,1.3562,9
search,24.7539,107
jkl,0.0299,0
influencer,0.1847,0
search,0.1271,5
search,3.4226,32
search,2.2981,78
jkl,0.0087,0
influencer,1.8808,33
search,0.0055,0
search,0.3507,3
influencer,12.9019,135
social,44.9591,250
jkl,0.286,2
influencer,0.0305,0
jkl,0.0025,0
influencer,0.0462,0
search,1.0549,5
,0.024,0
social,0.1221,0
jkl,0.0063,0
search,46.7391,308
jkl,0.0032,0
influencer,1.3592,26
influencer,0.0841,0
search,1.1285,11
social,0.1831,10
influencer,0.1031,1
influencer,0.0411,0
search,11.0669,453
social,2.4924,132
search,1.2719,15
search,1.1176,59
influencer,0.021,0
search,1.4112,31
social,0.1571,0
social,0.227,2
jkl,0.0075,0
social,0.289,7
search,0.949,65
influencer,0.2393,6
search,0.9594,15
jkl,0.011,0
search,6.1647,478
social,223.8048,894
influencer,363811.0,40494
jkl,0.0064,0
jkl,0.0126,0
social,0.0209,0
influencer,1.5399,86
influencer,4.3401,57
social,0.2438,0
social,0.0028,1
social,7.4986,120
social,5.7155,48
search,0.2218,8
influencer,143.5732,2014
search,0.0116,0
social,0.4177,16
social,0.7825,50
social,2.9318,115
social,2.577,37
influencer,204.7846,2913
influencer,0.027,0
social,4.4057,33
search,0.1392,4
influencer,14.4543,114
jkl,0.0664,1
search,0.0979,2
influencer,3.2046,19
social,21.4102,321
,0.0008,0
search,0.1507,24
influencer,0.0184,1
social,4.5941,142
social,0.0266,0
influencer,0.0166,0
jkl,0.0851,0
social,0.3291,16
search,4.7019,68
influencer,0.6337,0
social,0.4328,1
search,0.1888,6
jkl,0.0007,0
jkl,0.0873,3
jkl,0.1323,5
jkl,0.0017,0
jkl,0.0867,0
jkl,2.1452,58
jkl,0.5109,9
influencer,27833.0,4495
social,1.6513,36
search,1.3878,45
influencer,4.4316,42
jkl,0.0034,0
influencer,0.1308,3
influencer,5.0228,51
influencer,0.8323,37
jkl,0.2683,5
search,0.6807,31
search,0.6881,49
jkl,5.6064,65
search,22.7877,90
jkl,0.0231,0
search,0.5894,6
influencer,1.6759,20
social,0.7263,37
search,0.0024,0
social,2.4138,118
social,9.4151,666
influencer,0.017,0
influencer,167.2322,2117
search,0.0096,0
social,0.136,2
social,1.0973,77
influencer,0.8829,14
search,0.0108,0
social,0.0228,1
search,0.7008,4
search,16.6398,53
social,4.3012,51
social,0.3241,10
jkl,0.0061,0
,0.008,0
search,0.3988,9
social,17.8975,241
influencer,7.3785,54
jkl,0.0435,5
social,0.0369,1
search,11.1002,1021
influencer,8.6472,376
search,0.1468,15
jkl,5.7921,48
search,0.1188,4
social,0.6375,31
,0.0144,0
influencer,286.3959,7309
influencer,0.0003,0
social,9.713,392
search,0.7085,2
social,3435.44,294
social,9.7138,123
search,0.3202,15
jkl,0.3514,3
influencer,0.0028,0
influencer,1.19,8
jkl,0.3847,3
jkl,0.0008,0
jkl,0.2283,1
social,3.9778,70
influencer,3.2725,40
social,2.9231,186
,0.0008,0
jkl,2.7384,19
search,1.1958,72
social,0.0679,4
search,0.9565,16
jkl,1.4866,15
influencer,0.016,0
jkl,0.7406,19
influencer,0.0349,0
search,1.4004,24
social,197948.0,19797
jkl,0.0259,1
social,2.8845,14
search,1.1236,37
social,1.8682,26
jkl,0.03,0
influencer,0.4714,6
influencer,0.1315,1
influencer,0.0416,0
jkl,0.0397,0
search,0.4279,4
social,66.0523,4155
influencer,0.7778,27
influencer,0.4428,3
jkl,0.078,0
social,133.8498,660
jkl,0.0281,0
,0.0016,0
jkl,0.0015,0
influencer,13.8797,431
search,0.002,0
search,0.7459,21
influencer,247.9396,2406
social,0.9475,76
search,5.9057,48
influencer,1.5888,26
social,513.3684,2012
jkl,0.2482,8
jkl,0.3142,11
search,0.3642,12
influencer,0.5133,32
search,0.1324,13
jkl,1.7273,43
jkl,0.0068,0
search,0.0177,0
search,0.1393,5
search,0.3905,20
jkl,0.0034,0
search,3.6232,359
social,0.4186,25
,0.0008,0
social,0.2819,22
social,2.5422,28
search,0.1027,1
search,0.5463,12
,0.0096,0
jkl,0.0169,5
influencer,1.2827,26
social,4.9152,43
jkl,0.0353,0
social,2.2813,112
social,96.3619,5019
influencer,157.9301,2187
jkl,0.0161,0
influencer,6.2484,65
influencer,0.0424,0
social,1.4233,6
influencer,256.2873,5984
search,18.0447,715
influencer,0.3718,11
search,8.0871,28
search,0.0072,0
search,0.167,10
influencer,0.6727,8
social,0.3328,9
social,17.2005,166
influencer,0.0183,0
influencer,0.6378,17
social,0.0005,0
influencer,1.698,60
jkl,0.1281,0
jkl,1.4911,14
search,9.3153,29
influencer,0.9645,21
search,4.2832,199
social,0.0032,0
social,515.8464,1935
jkl,0.0071,0
social,0.5712,26
search,0.9868,8
influencer,0.0315,2
social,217.2611,898
social,1.3733,75
jkl,0.0219,0
influencer,0.4921,6
social,1.1711,27
social,39.3483,1388
social,16.1393,178
social,157.1906,721
search,54.6646,343
social,6.7208,55
social,0.0026,0
social,0.4143,8
influencer,0.796,14
search,0.0268,0
jkl,0.3058,7
influencer,147.782,767
social,0.0008,0
jkl,13.4877,230
social,0.0621,2
social,0.0004,0
jkl,0.0029,0
influencer,0.0023,0
social,0.2528,4
social,0.0036,0
jkl,0.0021,0
search,72.5007,349
influencer,0.0377,0
jkl,0.2836,2
social,0.0398,7
search,0.5722,28
search,0.3111,0
jkl,0.009,0
jkl,0.0963,2
search,46.6145,207
search,0.4495,1
social,0.0081,2
influencer,0.1441,1
social,1.0687,59
influencer,0.5427,17
influencer,7.5325,81
search,0.527,26
search,0.0087,0
influencer,0.1049,3
search,0.4102,2
social,0.0034,0
jkl,0.552,16
search,0.021,0
jkl,7.559,97
social,17.0438,192
search,0.2334,14
jkl,0.0089,0
search,0.1121,1
jkl,0.0779,2
influencer,1.8769,43
jkl,0.0093,0
jkl,2.8479,20
influencer,0.1404,0
jkl,0.1581,0
search,0.9509,15
jkl,0.008,1
social,5.5707,100
search,2.0764,59
influencer,179.7696,940
social,1.9898,4
jkl,0.0549,1
search,3.7511,358
influencer,255.7159,1578
influencer,1.9114,73
social,4.0911,209
jkl,1.2433,8
social,347.5567,1332
search,0.132,4
search,1.0802,53
jkl,1.131,8
search,0.0368,0
jkl,0.1915,0
search,0.0844,6
influencer,0.0011,0
jkl,0.182,0
social,0.0023,0
jkl,9.3414,158
jkl,0.0225,0
search,0.4308,15
search,1.5542,49
influencer,0.1032,0
search,2.1949,69
social,0.0098,0
search,0.0182,1
jkl,0.0034,0
search,0.2439,6
search,0.0493,1
social,3.6979,216
social,1.0982,37
jkl,0.0177,0
jkl,0.2201,1
search,39.3229,247
social,0.934,54
jkl,0.0167,0
influencer,0.2616,1
search,0.9711,9
jkl,0.1223,12
search,0.0469,0
search,1.967,20
jkl,0.2382,1
social,5.4339,33
jkl,0.0484,0
search,0.1261,0
search,0.01,0
search,34.7201,190
jkl,0.1179,1
influencer,0.0051,0
influencer,0.454,10
influencer,0.191,3
influencer,0.0027,0
search,42.6826,186
search,0.1292,4
search,0.0004,0
influencer,0.3288,3
influencer,4.3716,69
search,61588.1,4507
social,404.9274,1472
search,0.6105,19
social,64.4121,4884
search,0.9308,121
jkl,0.5564,13
search,0.8504,52
jkl,0.2463,35
influencer,0.0668,1
influencer,0.2,5
jkl,0.5779,3
search,3.1326,106
jkl,12.6756,167
search,0.0032,0
influencer,0.692,45
search,0.0177,3
search,0.1876,11
influencer,0.0824,2
social,1.9863,88
search,0.405,11
social,390.7116,1585
jkl,0.002,0
search,0.0127,0
social,0.0153,0
social,1.8751,155
influencer,0.1846,4
social,0.4938,3
,0.0048,0
search,0.0585,0
jkl,0.0642,2
social,17.8927,1494
jkl,0.0149,0
social,0.6523,17
search,0.183,8
jkl,0.895,6
social,5.0344,75
search,0.4048,25
search,0.1669,4
search,0.0033,0
influencer,9.6159,127
jkl,5.1941,50
social,2.8413,32
social,6.6962,87
search,0.8569,22
,0.012,0
social,0.6457,38
,0.022,0
jkl,0.0738,6
search,1.9441,31
social,4.5989,74
,0.0072,0
influencer,7.0324,171
jkl,0.0027,0
social,28.1005,885
social,0.0216,0
search,0.1595,10
social,1.9558,4
jkl,0.0385,0
influencer,1.3135,8
jkl,0.1389,3
,0.0027,0
social,3.0767,232
social,0.2228,2
jkl,0.1401,0
media,177746.0,16806
social,1421.34,5104
influencer,14.0088,593
search,0.1296,2
influencer,0.7249,9
social,0.0565,3
influencer,0.0928,0
social,0.1022,6
search,0.1779,2
,0.0032,0
social,121.2219,772
jkl,11.1808,186
social,18.8695,278
influencer,0.5062,13
influencer,0.0162,0
social,8.0963,117
search,0.2306,2
influencer,0.1763,10
jkl,0.045,1
influencer,0.1173,0
search,1.4853,51
search,0.0209,0
search,9.6584,739
jkl,1.4761,28
social,5.3274,232
social,0.4487,32
jkl,0.0349,0
social,0.2318,3
search,15.2085,722
,0.0016,0
social,0.1195,4
influencer,6.2793,58
influencer,1.258,72
search,0.122,1
social,0.2858,5
social,0.0128,0
social,0.0003,0
influencer,7.8413,144
jkl,0.0218,0
social,0.0468,0
search,0.25,0
social,0.5962,6
jkl,0.0042,0
influencer,0.3365,1
jkl,1.1283,4
jkl,0.0025,0
social,0.3273,9
social,0.1342,187
social,31.6884,194
social,70.6445,248
influencer,0.0003,0
social,0.2728,5
social,0.0,0
influencer,0.0045,0
jkl,0.004,0
social,7.4608,101
search,0.0049,0
social,3.3348,245
influencer,3.5077,42
search,1.2167,11
social,6.2418,288
search,0.7153,0
search,0.1567,2
search,10.7419,637
search,0.0015,0
jkl,0.036,0
social,24.7518,138
social,0.0019,0
influencer,0.46,3
search,0.314,2
social,92.7635,531
social,73.6068,376
jkl,0.4996,2
social,3.521,40
influencer,9.2657,311
search,0.002,0
influencer,0.0116,1
jkl,0.0501,0
social,3.793,223
jkl,0.0036,0
social,17.9887,1545
search,0.8618,16
social,0.6141,29
jkl,4.5815,42
search,0.4151,17
social,187.0482,1036
influencer,7.59,92
social,0.0285,0
social,3.9732,121
influencer,0.0646,1
jkl,0.0102,1
search,0.9995,6
social,0.3553,0
influencer,1.4781,10
search,2.8465,185
social,0.2423,0
social,1.8478,90
jkl,0.0124,2
search,0.0013,1
social,0.3297,19
social,0.2837,40
social,367.3662,1592
influencer,1.7988,18
influencer,0.0373,0
jkl,11.7014,168
influencer,0.294,12
social,0.0182,0
social,0.0008,0
jkl,0.0002,0
jkl,5.734,140
influencer,0.0201,0
influencer,0.0115,0
search,1.3961,20
social,0.0004,0
influencer,0.1843,0
search,5.9462,35
influencer,0.0258,0
search,0.1319,2
search,0.3638,7
influencer,0.0213,0
search,0.832,33
jkl,0.002,0
jkl,0.0005,0
social,299.7282,1494
social,0.7642,13
social,3.2369,221
search,0.3114,16
search,0.0852,2
social,15.3196,138
influencer,0.0289,1
search,27.0491,780
social,0.1008,4
jkl,0.0286,1
search,0.7333,11
search,0.5635,21
search,0.0105,1
search,0.0133,1
jkl,0.0056,0
social,0.0314,0
influencer,42.5835,1002
social,1.8236,197
social,5.4304,276
social,0.2216,17
social,0.2992,22
social,3.9345,51
social,2.7964,115
influencer,0.0446,0
jkl,0.008,1
social,0.2878,5
social,124.3772,872
search,0.1532,2
jkl,0.0047,0
social,0.0636,2
influencer,0.0287,0
social,4.2653,67
social,0.2669,33
