rating,review
4.5,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.
4.0,"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too."
4.0,"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly."
5.0,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.
5.0,My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.
3.0,"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly."
5.0,I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.
4.0,"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank."
5.0,I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.
4.0,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.
4.0,I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.
4.0,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.
4.0,Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.
4.5,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.
3.0,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.
5.0,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.
4.0,I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.
4.0,"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card."
5.0,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.
4.0,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.
4.0,"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved."
5.0,"For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable."
5.0,"SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good."
5.0,I have opened the savings account from TNSC bank because its undertaken by state Government. I need to maintain a minimum balance of Rs. 1000. I have never applied the facility of mobile app and net banking. Bank response is good. They have taken almost 2 days to sent the debit card and cheque book to my residential address.
5.0,6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account. I don't need to maintain any minimum balance. Its best bank but branches are not available like other banks anyway i don't feel its big issue because all the facilities are available on their app and net banking.
5.0,"More than 8 years, i have been using the salary account from HDFC bank. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of Rs. 5 for IMPS transactions."
4.0,"For the past 8 months, i have been using salary account with Andhra Bank and its been very good experience. They are giving 3.5% interest rate for savings account and its okay. I'm not using using mobile banking for checking balance and to do transactions. Their app is easy to access."
5.0,"I am using Syndicate bank salary account for the past  1.5 years with the net banking  service as well as mobile banking, these are good and I used to transfer money and also transaction history can be checked . Banking service is pretty good and customer service is also giving me good response if I contact them for any assistance."
4.0,"From INDIAN Bank,  i am using savings account more than 3 months. This is salary comes savings and its a zero balance account but i am maintaining Rs. 500. This bank has a good app atm service are available near to my residency and their service was good."
5.0,I have been holding an account for a saving with SBI for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.
3.0,"I have been with Standard chartered Bank for past 3 years. I have called the customer care to get the statements but it was not on time, they have provided after 2 to 3days. There is no annual fee for debit card. I use the online services which are okay, would suggest them to improve the application. And also its difficult to update the home address via online and couldn't apply for a new debit card, they need to improve these things."
5.0,I am holding a savings with AXIS bank quite for a long time. There is no hidden charges in this bank. I am maintaining Rs. 10k minimum  balance account. I am using mobile app and Internet banking and it is user friendly to access. ATM and branches are near.
5.0,"Since 12 years, i am using HDFC Bank savings account. This is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly. ATM facility is near and their service was good. When ever i do shopping i am getting instantly alert messages."
5.0,"I am using HDFC Bank Salary account for the past 8 years and the net banking, mobile banking service is good which I used to  check all  transactions details. Banking  service is also  comfortable and  good. Each transaction is safe  and using this account much frequently."
4.5,"HDFC Bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance. This bank has a good app is and its fine to use. When ever i withdrawal cash i am getting alert message instantly  , atm service is very near."
5.0,"Taken my savings account from CITI Bank and  i am using this account more than 10 years. The branch is available near to my home, i am using their online banking facility and its very good to use. They are not deducting any hidden charges and i need to maintain a minimum balance of Rs. 1L compulsory, need to decrease that."
5.0,"I have opened my savings account in Andhra Bank 8 years ago. My experience is very good and I like the customer support. Other things are also good. I need to maintain a minimum balance of 1500, if not they will not cover accidental and term insurance. I took International debit card."
3.0,"I am doing all my transactions through AXIS Bank. Its been 1.5 years, am using this savings account. Am keeping minimum balance on a monthly basis Rs.10k, if not they putting lots of charges. The branch is near by to my residence, once I went to the bank to link my Aadhar card."
5.0,My savings account is maintained with AXIS Bank and this is a salary cum savings no need to maintain minimum balance. AXIS Bank has a very good application but i am using it with other bank because this is only salary account.This bank has a good customer service.
4.0,"From SYNDICATE Bank, i am using savings account more than 10 years. I am keeping minimum balance of Rs. 1000 and their service was good. I am not receiving any offer messages from bank but i received calls several times for loan offer. ATM is near but facility is not good which needs to be improved."
5.0,"Since 40 years, i am using savings account from UCO Bank. This bank app is very good and their customer service was also good. I am maintaining minimum balance of Rs.1000 for cheque book account and ATM facility is available in walkable distance from home within 15minutes, I can reach. When ever i withdraw cash from ATM instantly getting alert messages."
5.0,"Almost 40 years, i am using Indian Bank savings account because it was recommended and opened this account when i was in young age. They are handling the customer very well. I need hold a minimum balance of Rs. 1000. Their ATM facility is available in all the places. I have not faced any troubles from this account. Overall, I'm satisfied with their services."
5.0,"2 years before, i have purchased the savings account from HDFC. When my son bought a home loan, they have given this account to me. They will calculate a average balance once in 3 months with the amount of Rs. 10000. Sometimes, i used to visit the branch for general enquiry but the branch was more crowded for most of the times."
5.0,My company is having their current account in Indian Overseas bank hence they have provided me a salary account also to all the employees. I hold this account for almost 20 years and Its convenient for using the net banking facility. Frequently i used to visit their branch and the staffs are very supportive. I am maintaining a minimum balance of Rs. 1000.
5.0,"Long  back i am using savings account from HDFC Bank. Its a zero balance account since this salary cums savings, when ever i withdrawal  cash getting alert messages and this application was good.  HDFC Bank has a good customer service and they responding properly."
3.0,"3 years back, i have opened the salary account from HDFC because i had my existing savings account with HDFC around 5 years before after that i have converted into salary account. I am maintaining a minimum balance of Rs. 2500. Maximum ATM withdrawal limit is Rs. 25000. They don't deduct any hidden charges."
5.0,I am holding a savings with account with AXIS bank for more than 1.5  years. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and Net banking  it is user friendly to access. ATM and branches are near to my residence.
5.0,"I am using VIJAYA  Bank savings account for more than 4 years. Every day i can withdraw cash from atm upto Rs.50,000 and I will receive alert messages from the bank. Also I linked this account online like Google pay and more for an easy payment. I spoke to bank executive directly it was good."
5.0,"In Karur Vysya Bank, they are not charging me any extra amount. Bank is in near to my house so i have chosen them. I need to maintain a minimum balance of Rs. 1000. Its very good to use the net banking and mobile app and i find all the option in that. After completion of 5 transaction from other ATM, they are charging Rs. 20 for each transaction."
5.0,"From HDFC Bank ,  i am maintaining minimum balance of Rs. 20,000. I am using this savings account quite for a long time and this bank has good ATM facilities. When ever i do cash withdrawal instantly i am getting alert messages and they given international debit card."
5.0,"More than 20 years, i have been using the salary account with Indian Overseas Bank because the branch is located nearby my place.  They don't take any hidden charges. I never experienced of their net banking facility and mobile app. When i visited the branch, response is prompt and the employees are helpful."
0.5,"Axis bank has limited options in menu of Customer support, this means they do not welcome any other query apart from set menu, their phone banking numbers are useless they doesnt provide any extra info or let us speak to customer support executive. Neither there is option to write a mail regarding our issue.We have to directly visit bank branch which is not always possible as the office time of the branch and our work time are same. Do they expect us to visit branch for every issues to get resolved. aleast let us write about our issue.This is really disgusting. And i wasted my time calling customer support and downloaded app for solution but there also they have limited options. There are more issues we face such as non deduction( auto debit) of set payments on decided date . where should we complain. Should we pay penalty for non payments on due date by bank and take off from our office to visit axis bank branch to report work not done by the bank."
4.0,"Almost 4 years back, i went to the SBI branch and opened the savings account because they have a good credibility in the market. Earlier i need to hold a minimum balance of Rs. 1000 and now that has been not required. Its convenient to use the net banking and mobile app facility. I find the ATMs even in remote areas."
4.0,Opened my salary account from CITI bank before 2 years. I never had any hassles till now. There is no criteria to maintain any minimum balance. Its good to use the net banking and mobile app facility. Only once i have visited their branch for signature verification and the response was good in the branch.
5.0,I am holding a savings account  in AXIS bank for more than 1.5 years. Through online I opened an account. There is no hidden charges in this bank. It is a zero balance account. ATMs and branches are near to reach them directly. i am getting good offer message. SMS charge is applicable of 15 rupees.
5.0,I have been using salary account from SYNDICATE BANK. I have been using this account for past 3 years. It is a zero  balance account with no hidden charge. I am not getting  offers message. On quarterly basis SMS charge  will be  applicable of 15 rupees.  I use to do transaction more than 5 times so charge will be applicable of 25 rupees.
2.0,I am holding a saving account with SBI bank for more than 5 years. There is no hidden charges in this bank. It is user friendly to access mobile app. Need to maintain a minimum balance for this account of 5K. I get an alert messages from bank whenever I do a transactions.
2.0,I am having a salary account with AXIS bank for just 3 months back. There is no hidden charges in this bank. It is a  zero balance account. I am using mobile app and it is user friendly to access. I use this account only for transact the amount. Mostly do online transaction rather than ATM.
4.0,"I have Karnataka  bank  saving account which i am using for  8 years .There  will be  message alert and there was no difficulties faced so far . customer service is also  good ,if have any query getting good response and banking service  is good and satisfied .Each transaction is done  very frequently ."
5.0,"I have opened Axis bank salary account last 3 years ago.          I have to maintain a minimum balance of Rs. 10,000 even though its salary account. They don't take any hidden charges. Its comfortable to use the net banking and mobile app facility. I have no idea about the other bank ATM withdrawal charges."
5.0,I maintain my saving account from HDFC bank  just  4 months back. Since my friend has suggested and mean while  in my future I am going to take home loan so opened an account. Need to maintain minimum charge of 5K  which is nominal.  I am getting offers message from their end.  i get alert message on time from bank end for each transaction.
5.0,I have been holding a salary account with SBI approximately  13 yeas. I need to maintain a minimum balance of  around 10K. There is some SMS  and  ATM charges are applicable on quarterly up to 70 rupees. Mobile app is fine to use.  ATM and branches services are good.
4.0,"Recently i have opened the savings account from Kotak Mahindra bank but i have not made any transaction from this account. They have provided me a zero balance account. To get a valid address proof, i have opened this account. I can find the branches in all the places. They are not taking any kind of hidden charges."
5.0,At earlier in my previous company  they have provided a salary account from Indusind bank. They don't take any charges for other ATM withdrawal. They don't deduct any hidden charges. I have been using the mobile app of this bank and its better to use. Its a zero balance account to use.
3.0,"During my college days I got a chance to open an account in ALLAHABAD BANK. Hence I am holding an account for  6- 7 years. Need to maintain a minimum of 2K, if not charges are nominal.  Branches are far away to reach them from my place.  Since I preferred online transaction rather than for ATM."
5.0,"Overall I have been using State Bank account for more than 8 years but for past 1 year, I have been using it as a salary account anyway i need to maintain a minimum balance of Rs. 5,000. Chosen this bank because when i was in native i opened this account because to do the deposit, its a easy way because of the cash deposit machine and i can do most of my transactions through their app."
5.0,"I am using Bank of Baroda  salary account  which is very comfortable .I am using  net banking mobile banking it is transaction history can be  checked and can be used for money transfer ,it is good to use  and very user friendly, everything is good ,customer service is also good and not faced any drawbacks ."
3.0,"Axis bank have a good customer care because they are interacting the customer in a polite way. My friends referred me about this bank hence I chose this bank for my savings account. Its a zero balance account to use. Its nice to use the net banking facility. Overall, I'm happy about the service."
4.0,I am using saving account from  BANK OF MAHARASHTRA for the past  6-7 years. I have to maintain a minimum balance of 2K. Atm and branches services  are good and easy to reach from my place. SMS will be get on quick for each transaction. Their service is good and supportive.
3.0,"I  am holding  my salary account with Bank of Baroda past  4 years. There is some hidden charges which the amount as deducted on annual fee above 200 rupees. Atm and branches are near. SMS charges are applicable on annual of 100 rupees. The people are not supportable and not easy to reach them, if I do a transaction more than 5 times charges are  applicable of 25 rupees."
5.0,Sometime they will deduct money from my account without mentioning the reason and they just its a services on my Syndicate bank salary acccount. I need to maintain a minimum balance of Rs. 1000 and above. I cannot able to download the statement on their mobile app and they do have net banking facility which will not work most of the times.
4.0,I am using SBI salary account which is used very frequently.I am using this account for the past 3 years only .I am using net banking as well as mobile banking service both are very user friendly and  these are used for money transfer as well as credit card bill payment .customer service is also good to me and there was no drawbacks faced so far.
5.0,I have HSBC bank salary account for more than 3 years.Transaction is safe and secure and i am not using net banking and mobile banking .I use this account for phone pay and Google pay for online transactions. The customer service is also good and getting good response. The banking service is much comfortable .
5.0,"I opened my salary account with Standard Chartered bank for almost 2 years ago. There is only branch available in Pune hence i need to travel a lot for depositing the cash and other request. ATM facility also less in my city.  Earlier they were not charging any additional for other ATM withdrawal but now after completion of 10 transaction from other ATM, they are charging Rs. 25 for per transactions.  If they are improving the ATM facility, it would be fine. They don't provide any offers to the customer."
4.0,I opened my savings account from CANARA bank and I have been using for last 6 years. Chosen this account in my home town because the branch is located to nearby my place. Executive response was good and I need to hold a minimum balance of Rs. 1000. Their app facility is convenient to use. I could find branches and ATM in all the places.
4.0,"My company was offered me 5 banks but I have chosen standard Chartered bank and its a zero balance account to use. There is no ATM withdrawal charges even I do  from other bank. I have selected the same. In net banking facility, some features are not available like downloading the statement through PDF options."
5.0,"Before 1.5 years, i have opened the salary account with State Bank of India. Bank account is convenient to use. They have given me a zero balance account. I went to their branch for getting a passbook and to get a ATM card as well and the response is okay. We have a branch which is a cashless one so branch was not crowded."
5.0,Its going to be 5 years since I'm using the savings account from Kotak Mahindra bank because i like their service and my salary also getting credited to this account. I'm fine with the net banking and mobile app facility. I just visited the branch once for changing my mobile number and their service is very good in their branch also.
5.0,"When compared to earlier, now SBI is providing good service. I have been holding this account for more than 3-4 years and which have opened for my personal use. No need to maintain a minimum balance account. The branch service is fine and near from my home to reach."
5.0,Using my savings account with HDFC bank for almost 5 years. I am maintaining a minimum balance of Rs. 2500 which is mandatory even though its a salary account. Sometimes I'm facing a issue like they are charging me a high amount if I'm not maintaining the balance. I can find the branches in all the places.
5.0,Canara Bank before I was using as salary account but after shifting my company cannot use this account for further and I am yet to  convert into saving account. I am holding account  for past 10 years. There is SMS charge applicable of 12 rupees which is nominal. ATM charge is 22 rupees. I am using both mobile app and net banking are user friendly to access.
5.0,I am holding salary account with HDFC past 1 year. Since its salary account  no need to maintain a minimum balance amount. I can do transaction of  5 times if exceed ATM  charges of 22 rupees. Mobile app is not user friendly and I am facing server issue.  The customer service is not good in response.
3.0,"I have been using an account as saving in DENA bank for past 7 years. Need to maintain a minimum amount of  4- 5K  if not some charges are applicable. Many times I visit branches , their service is good, I am not using mobile app  and net banking service yet. I get offers message often."
3.0,I am holding a savings account  for my personal need in HDFC  bank for more than 4 years. There is no hidden charges in this bank. Need to maintain a minimum balance amount of 10K in account if not charges are applicable of 800 rupees plus GST. I am using net banking and it is user friendly to access.
5.0,I am holding saving account from CORPORATION BANK  past  9 years. Need to maintain a minimum balance of 500 rupees. If not some charge would be applicable. ATM and branches service are good. I do get alert message on time for each transaction. But there are not sending any offers message.
4.0,"Recently I opened a saving account from KOTAK bank on last December and I need to maintain a minimum amount of 10K. It is 811 online saving account with nominal charges of 5%, Atm and branch's are near from my home. So far I got 2 -3 times offer messages from their end."
5.0,My savings account was chosen in Axis bank and i have opened the account in the year of 2013. It was my previous company salary account after that i have converted into savings account. Its a zero balance account to use. Branch response was good and the staffs are very helpful. I find the branches and ATMs in almost all the places.
4.0,"10 years ago, i have opened the salary account from HDFC and it was offered by my company. I don't need to maintain any minimum balance. Its very good use the net banking facility. I have visited their branch and the response is good. The branch is not that much crowded. Only drawback is I can do only limited transaction from other bank ATM."
4.0,"I have opened the salary account about 6 years ago. I have never faced any issues till now. If i have any questions, its a long way of connecting with them and sometimes, they used to hung up the call while customer is talking. Its fine to use the net banking facility and they don't charge me any hidden charges. The transactions are smooth."
4.0,"My savings account was opened in SBI, last 5 years ago because Prime Minister Modi asked every citizen from India needs to open an account in State Bank of India. When i was opened the account, there is no minimum balance is to be maintained but after 2 years, they asked me to hold a minimum balance of Rs. 5000 but they don't deduct any hidden charges."
5.0,I maintain my salary  account from HDFC past 9-10 months.  I got an option to open account from my company. The branch is 2KM distance from my home. Atm service is good. Really good at their own place. I am getting good  loans and card offers from their end.
5.0,"I am having my saving account for past 9-10 years. Since  most of my family members opened an account here and service is good so I preferred this bank. I need to maintain minimum amount of  3K, if not minimum charge applicable of 15 rupees for 3 months once.  The branch is quite far from my place. I am not getting any offers so far."
2.0,IDBI bank account benefits are not good hence i rarely use this account now. My savings account was opened in the year of 2012. Its a zero balance account to use. They don't have any mobile app facility. Branch response was not that much good when i visit the branch to open the account and lot of hassle was there.
5.0,"DBS is awesome bank and i never had any complaints from this bank. They have done a paperless account opening. Based on the benefits, i have selected this account because the RD interest rates are good. In fact, i can make the payment directly to the shops and their app is very friendly to use. Every month i used to get Rs. 750 if i do maintain a balance of Rs. 10000 and they have their terms and conditions to get a cashbacks."
5.0,"When i was doing my studies, i have opened the savings account from State Bank of India. From my college itself, they have opened this account because branch is available on my campus. I need to maintain a minimum balance of Rs. 2500. The branch response was good when i was visited 2 years before."
5.0,"When I was working in previous company, they had opened a salary account from HDFC Bank and I maintain it for the past 1 year. But suddenly I changed to other company so opened other account for salary. I am yet to convert HDFC account into savings. As of now, this is in active and I didn't come across any hidden charge from this bank."
4.0,AXIS has provided a chance to open a salary account and I maintain for past 6 months. There is no hidden charges in this bank. It is a  zero balance account. I use to get an alert message on time  from bank whenever I do a transactions. There is no proper follow up because few months before I was applied a loan but no update from their end for further.
3.5,"IOB mobile app is not much user friendly to access and its not up to the mark. I am holding this account for more than 5 years. Before it was salary account since changed to other company, so converted this account in to saving. ATM charges applicable of 20 rupees on 6 months once and transaction charge is applicable."
5.0,I have a salary account with AXIS bank for more than 3 years. There is no hidden charges in this bank. It is a  zero balance account. It is easy to access mobile app and net banking. I use to get an alert message and mail  from bank whenever I do a transactions. I use to get card offers only not for any loans.
5.0,"On my personal need, I opened a saving account from INDIAN Bank which am holding it for past 10 years. Banker  has suggested to open an account and also branch was near to my home. Need to maintain minimum of 1000 rupees if not charges are applicable of 100 to 120 rupees. I am using only net banking service."
5.0,I am holding a salary account  in SBI for more than 14 years. There is no hidden charges in this bank. It is a  zero balance account. I am using net banking and it is user friendly to access. I use to get an alert messages from bank whenever I do a transactions. I am not getting much offers from this bank.
5.0,I have been using the savings account from Syndicate bank  and i opened this account 3 years ago based on my friend's recommendation. I don't use their net banking facility and mobile app. I never visited their branch till now nor contacting the customer care. I need to hold a minimum balance of Rs. 1000. Bank transactions are smooth.
5.0,Axis bank sales executive came to my company and opened a salary account for me. Its been 2 years and am using as zero balance account. Their net banking facility is best and its easy to access the mobile app too. I get a notification immediately whenever I'm doing the transaction. I never visited their branch till now but their call centre response is good.
5.0,"4 years ago, i have opened the salary account from Standard Chartered bank because from my company side they have provided this account. Its a zero balance account to use. They have provided me a app which is briefly mentioned everything. In the branch, the response is good. ATM facility is not available in all the places but they have given me a facility of unlimited withdrawals in all the bank ATM without any additional charges."
5.0,"When I was working in previous company , they told to open a salary account with ANDHRA bank and I maintain an account for the past 3 years. Since I changed to other company this account as converted now as saving account.  Its zero balance account. ATM charges are applicable. But there is no much ATM is avail in my city."
5.0,I am holding a salary account in HDFC for more than one year. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and it is user friendly to access. On quarterly basis charges are applicable of 30 rupees for SMS charges and ATM charge is applicable of if I use more than 5 times in a month.
2.0,"Almost 7 years, i have been using the salary account from Indian Overseas Bank and i have chosen this bank because it will not be much crowded as other banks. They don't deduct any kind of hidden charges. I need to maintain a minimum balance of Rs. 1000. Net banking facility is not that much advanced which can be improved."
5.0,My company has given option to maintain my salary account in HDFC bank. I have been holding this account for 10 years. There is no hidden charges. I can do minimum transaction amount of 5K which is low and need to maintain minimum of  150 rupees. Atm and branches are near. Mobile app  and net banking are user friendly to access . I get alert message from bank whenever I do a transaction.
5.0,"I have been using savings account with KARNATAKA Bank since 2011. This is only savings account,  so no need to maintain minimum balance. Whenever I do cash withdrawal, shopping have been receiving alert message. Customer service and responsiveness was good."
5.0,"From INDIAN OVERSEAS BANK, i am using savings account more than 15 years. There is card charges, i am maintaining Rs. 1000 in this bank.  I am using mobile app and net banking.  They are good in alert messages whenever I do a transactions. ATMs and branches are near to my residence."
5.0,"Recently i have taken PNB savings account, they told me to maintain a balance of Rs. 1500 even though I'm maintaining minimum balance, they are deducting lots of hidden charges . ATM and branch is near to my home, Their customer service is giving proper response."
5.0,I am using Standard Chartered Bank salary account   for 1.5 years .This account  is used much frequently and also  using net banking  service as well as  mobile banking service and credit card  bill payment and money transfer .customer  service is also good and  banking service was comfortable .
4.0,"I am using SBI salary account which ,i am having more than 10 years .The transactions are done frequently and using net banking and mobile banking service it is very much user friendly.I am using both the service for credit card bill payment.Each transaction is safe and secure and ,i am satisfied with the service."
