employee_index,country_residence,gender,age,contract_length,new_customer_index,seniority_months,primary_customer_status,customer_type_start_month,customer_relation_type,residence_index,foreigner_index,join_channel,deceased_index,province_name,gross_income,customer_segment,fixed_deposits,loan,credit_card_debit_card,account
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,63748.31999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,SEVILLA,54329.01,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHD,N,GRANADA,78712.02,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CASTELLON,38537.58,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,389697.36,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,1,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,TOLEDO,65253.48,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,85098.95999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,85855.20000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,98478.69,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,OURENSE,74682.66,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,17654.25,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,122324.85,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,33.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,68246.19,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,80179.11,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,82542.03,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,120016.44,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,151452.96,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,40484.58,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,"CORUÑA, A",140155.23,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,69530.76,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,LUGO,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,191618.76,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,"CORUÑA, A",86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,LEON,331425.12,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,856.0,0.0,     34,1.0,1.0,A,S,S,KHE,N,CASTELLON,34825.98,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MALAGA,144154.23,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,87511.17,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MADRID,210681.45,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,856.0,0.0,     34,1.0,1.0,I,S,S,KHE,N,CASTELLON,45514.5,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,CADIZ,154361.25,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,856.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,CACERES,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,30.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CUENCA,120212.1,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MALAGA,104677.86000000002,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,856.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,240139.62,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,"CORUÑA, A",86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,HUELVA,78178.62,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,26.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,69242.70000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,37.0,859.0,0.0,     34,1.0,1.0,I,S,N,KFA,N,PONTEVEDRA,68353.74,02 - PARTICULARES,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,69624.54000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,26634.57,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,28.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CACERES,68317.89,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,81096.39,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,83939.22,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,BIZKAIA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,68476.83,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,27.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,CADIZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,34.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,72153.45000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,51318.66,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,142578.33000000002,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,51117.72,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,29.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,LUGO,63764.37,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CORDOBA,71583.81,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,MALAGA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,SEVILLA,78413.43000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BARCELONA,135529.88999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,195851.73,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,SEVILLA,64026.0,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,155691.78,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,61868.06999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHD,N,VALENCIA,139025.55,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,131671.86000000002,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,103404.03,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,33.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,"CORUÑA, A",129775.95,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,78740.45999999999,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,"CORUÑA, A",54202.74000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,50986.11,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CADIZ,24069.21,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,CUENCA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,30.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,182998.47,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,31.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,80856.84,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,1,0
N,ES,H,49.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,95377.2,02 - PARTICULARES,0,0,0,1
N,ES,V,39.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,90323.16,02 - PARTICULARES,0,0,0,1
N,ES,H,28.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,69684.9,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,88819.14,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,218038.47000000003,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,28.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,"CORUÑA, A",86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,"CORUÑA, A",86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,30.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,28.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,134963.01,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,45448.29,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,33.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,91356.6,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,75346.29000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,60380.25,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,32.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,1132874.13,03 - UNIVERSITARIO,0,0,1,1
N,ES,V,28.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,106176.63,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,SEVILLA,30668.07,03 - UNIVERSITARIO,0,0,1,1
N,ES,V,24.0,859.0,0.0,     34,1.0,1.0,I,S,S,KHE,N,PONTEVEDRA,101916.93,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,55789.77,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,29.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,83.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHC,N,VALENCIA,72659.79000000001,02 - PARTICULARES,1,0,0,1
N,ES,H,22.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHD,N,MURCIA,115716.24,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,OURENSE,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,33.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,LUGO,30506.91,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,50024.85000000001,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,24.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,BADAJOZ,31368.39,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,169159.65000000002,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,PONTEVEDRA,125338.29,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,24.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,PONTEVEDRA,111073.88999999998,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,25.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,HUELVA,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,V,22.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,SEVILLA,227751.48,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,30.0,859.0,0.0,     34,1.0,1.0,I,S,N,KAT,N,BADAJOZ,28946.85,02 - PARTICULARES,0,0,0,1
N,ES,V,42.0,859.0,0.0,     34,1.0,1.0,I,S,N,KFC,N,GRANADA,118756.47,02 - PARTICULARES,0,0,0,1
N,ES,V,63.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,MADRID,243794.55,02 - PARTICULARES,1,0,1,1
N,ES,V,32.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,GRANADA,86740.65,03 - UNIVERSITARIO,0,0,1,1
N,ES,V,56.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,VALLADOLID,178280.76,02 - PARTICULARES,0,1,1,1
N,ES,H,34.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,MADRID,58604.37,02 - PARTICULARES,0,0,0,1
N,ES,V,39.0,859.0,0.0,     34,1.0,1.0,I,S,N,KFC,N,"CORUÑA, A",64853.55,02 - PARTICULARES,0,0,0,1
N,ES,V,43.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,MADRID,112628.46,02 - PARTICULARES,0,0,0,1
N,ES,V,47.0,859.0,0.0,     34,1.0,1.0,I,S,N,KFC,N,LERIDA,64768.83,02 - PARTICULARES,0,0,1,1
N,ES,V,47.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,CADIZ,50834.61,02 - PARTICULARES,0,0,1,0
N,ES,V,45.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,BARCELONA,88648.53,02 - PARTICULARES,1,0,0,1
N,ES,H,45.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,VALENCIA,86740.65,02 - PARTICULARES,0,0,1,1
N,ES,V,33.0,859.0,0.0,     34,1.0,1.0,A,S,N,KAT,N,"CORUÑA, A",222070.23,02 - PARTICULARES,0,0,1,1
N,ES,H,33.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,PONTEVEDRA,91859.22,02 - PARTICULARES,0,0,1,1
N,ES,V,49.0,859.0,0.0,     34,1.0,1.0,A,S,N,KAT,N,SEVILLA,91244.04,02 - PARTICULARES,0,0,1,1
N,ES,H,24.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,ASTURIAS,86740.65,02 - PARTICULARES,0,0,0,1
N,ES,H,40.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,ALAVA,86740.65,02 - PARTICULARES,0,0,0,1
N,ES,V,55.0,859.0,0.0,     34,1.0,1.0,A,S,N,KFC,N,"PALMAS, LAS",187348.98,02 - PARTICULARES,0,0,1,1
N,ES,V,31.0,859.0,0.0,     34,1.0,1.0,I,S,N,KFC,N,CIUDAD REAL,87150.78,02 - PARTICULARES,0,0,0,1
N,ES,H,24.0,859.0,0.0,     34,1.0,1.0,I,S,S,KHE,N,VALENCIA,29562.120000000006,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,29.0,859.0,0.0,     34,1.0,1.0,A,S,N,KAZ,N,LERIDA,232063.71,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,26.0,859.0,0.0,     34,1.0,1.0,I,S,N,KHE,N,CASTELLON,86740.65,03 - UNIVERSITARIO,0,0,0,1
N,ES,H,23.0,859.0,0.0,     34,1.0,1.0,A,S,N,KHE,N,CADIZ,86740.65,03 - UNIVERSITARIO,0,0,0,1
