category,cost,clicks,leads,orders,revenue
search,0.0186,1,0,0,0.0
jkl,0.02,0,0,0,0.0
search,0.2012,3,0,0,0.0
search,17.3983,881,21,14,1406.7553
social,0.0012,0,0,0,0.0
influencer,1.7313,100,2,6,404.5884
influencer,6.0305,101,2,21,1340.0215
social,3.4543,148,3,0,0.0
social,85.3372,468,12,308,20853.9918
influencer,0.0024,0,0,0,0.0
search,0.0184,0,0,0,0.0
influencer,0.0588,0,0,0,0.0
search,23.5782,133,3,31,1622.7716
jkl,0.0008,0,0,0,0.0
influencer,11.5244,97,2,52,3884.3025
social,2.6483,156,3,2,21.0797
influencer,0.0663,1,0,0,0.0
social,29.8327,2005,54,16,817.163
jkl,0.0345,0,0,0,0.0
search,0.7858,9,0,2,186.803
jkl,0.2125,2,0,0,0.0
jkl,0.0886,7,0,13,411.2596
social,0.0041,0,0,0,0.0
search,0.2967,29,0,0,0.0
social,6.1793,43,1,5,488.9052
search,2.1823,73,1,0,0.0
influencer,0.0021,0,0,0,0.0
influencer,1.5873,35,0,5,294.4757
search,0.002,1,0,0,0.0
jkl,0.0003,0,0,0,0.0
search,34.571,153,3,86,3346.2094
influencer,4.6136,56,1,4,193.0897
social,4.8674,77,1,27,1040.1331
social,0.0088,0,0,0,0.0
search,0.1203,3,0,0,0.0
search,0.0208,0,0,0,0.0
influencer,0.0008,0,0,0,0.0
jkl,0.0938,0,0,0,0.0
social,78.5331,471,11,184,10457.4443
search,0.001,0,0,0,0.0
jkl,0.0006,0,0,0,0.0
influencer,0.0057,0,0,0,0.0
search,2.7912,24,0,10,1026.092
,0.0006,0,0,0,0.0
search,0.3585,1,0,0,0.0
influencer,0.0012,0,0,0,0.0
social,0.5661,44,1,0,0.0
search,0.9696,13,0,1,24.5825
jkl,0.107,6,0,0,0.0
influencer,1.9475,100,2,5,739.9846
jkl,0.0015,0,0,0,0.0
influencer,197161.0,13506,474,95,831820.0
search,0.1069,0,0,0,0.0
social,4.8905,307,7,1,97.9896
influencer,0.0526,0,0,0,0.0
search,0.1738,3,0,0,0.0
media,25023.2,4208,67,10,31710.0
social,0.022,0,0,0,0.0
influencer,0.0118,0,0,0,0.0
search,0.0127,0,0,0,0.0
influencer,0.0324,0,0,0,0.0
jkl,0.304,3,0,0,0.0
jkl,0.0026,0,0,0,0.0
influencer,0.0011,0,0,0,0.0
influencer,0.0039,0,0,0,0.0
search,1.34,76,1,0,0.0
social,404737.0,32395,1003,139,847066.0
jkl,0.0087,0,0,0,0.0
social,0.0147,0,0,0,0.0
search,0.2947,2,0,0,0.0
influencer,0.2455,0,0,0,0.0
social,18.548,211,5,45,1939.6822
search,0.1655,3,0,1,178.9614
influencer,176.8524,8984,237,122,9988.0984
jkl,1.9027,38,0,11,378.6294
social,5.5762,122,3,14,651.2135
social,3.32,104,2,0,0.0
influencer,8.06,222,5,6,239.3044
influencer,21.9762,823,18,61,4529.6603
social,0.2882,13,0,0,0.0
influencer,1.0955,23,0,0,0.0
jkl,0.0006,0,0,0,0.0
influencer,0.0068,0,0,0,0.0
search,1.3099,31,0,9,737.0078
search,0.0008,0,0,0,0.0
influencer,1.3129,21,0,0,0.0
jkl,0.4073,2,0,0,0.0
search,1.2491,57,1,0,0.0
influencer,0.8293,17,0,1,48.5568
social,3.325,31,0,3,533.963
jkl,12.3021,1076,28,19,1644.7297
jkl,0.0465,0,0,0,0.0
search,5.2019,48,1,7,547.2905
social,0.0928,2,0,2,32.1004
jkl,0.0006,0,0,0,0.0
search,0.0811,4,0,0,0.0
social,0.4926,18,0,0,0.0
social,1.7658,99,2,0,0.0
jkl,0.0015,0,0,0,0.0
influencer,6.1899,99,2,19,1278.5147
social,1.078,44,1,0,0.0
influencer,19.6715,767,20,58,4005.2731
influencer,0.0331,0,0,0,0.0
social,0.0025,0,0,0,0.0
jkl,0.0008,0,0,0,0.0
social,7.0855,40,1,2,328.0094
search,1.811,81,1,3,49.1222
social,0.0007,0,0,0,0.0
social,1.4337,22,0,0,0.0
jkl,0.0033,0,0,0,0.0
search,0.6514,13,0,0,0.0
search,10.0631,44,1,91,4617.0103
jkl,0.6712,6,0,1,53.1607
social,6.6036,351,9,5,1014.3153
social,0.0095,0,0,0,0.0
search,0.3798,20,0,0,0.0
jkl,16.8376,268,7,92,4570.7515
social,4.5331,33,0,9,540.2379
influencer,0.0179,0,0,0,0.0
influencer,0.1936,2,0,0,0.0
social,0.6929,8,0,0,0.0
jkl,0.4121,1,0,0,0.0
social,33.0858,197,4,197,10865.6859
jkl,0.0191,0,0,0,0.0
search,1.1694,13,0,0,0.0
social,3.0873,248,5,1,66.9636
influencer,0.0839,2,0,1,471.8618
jkl,0.0099,0,0,0,0.0
jkl,0.0175,0,0,0,0.0
social,104.1494,878,24,620,29477.2505
jkl,0.0077,0,0,0,0.0
influencer,2.7266,28,0,0,0.0
social,0.0028,0,0,0,0.0
social,9.025,50,1,0,0.0
influencer,0.0003,0,0,0,0.0
jkl,0.0006,0,0,0,0.0
influencer,0.0085,0,0,0,0.0
jkl,0.1082,4,0,0,0.0
jkl,0.0011,0,0,0,0.0
jkl,0.0061,0,0,0,0.0
jkl,8.5749,199,5,126,4847.1027
,0.0192,0,0,0,0.0
influencer,0.0171,0,0,0,0.0
search,0.0307,1,0,0,0.0
social,0.0108,0,0,0,0.0
social,0.1117,4,0,0,0.0
influencer,12.4544,154,3,12,1641.6422
jkl,0.0304,1,0,0,0.0
social,1.7689,93,2,0,0.0
influencer,0.0004,0,0,0,0.0
search,2.9968,29,0,1,297.0254
search,10.9554,57,1,53,2864.9308
social,1.127,77,1,0,0.0
search,36.3597,188,4,110,6149.1988
jkl,0.1721,3,0,0,0.0
jkl,1.2284,7,0,1,405.1223
social,0.2915,5,0,0,0.0
search,0.2302,2,0,1,217.3339
social,7.8852,105,2,9,462.9524
influencer,0.5262,16,0,0,0.0
social,3.4867,15,0,1,189.1626
social,0.8054,44,1,0,0.0
social,8.8901,117,2,4,290.6702
social,99.7965,572,13,491,23003.3079
jkl,0.1187,1,0,0,0.0
search,0.4246,8,0,0,0.0
social,3.7311,130,3,2,20.3475
search,2.3665,28,0,0,0.0
search,0.2287,9,0,2,206.5044
social,760.75,1024,4,0,0.0
search,0.0988,5,0,0,0.0
influencer,1.9994,11,0,4,353.2027
social,0.2893,11,0,2,68.8843
influencer,7.6335,59,1,5,329.932
influencer,0.0112,0,0,0,0.0
social,0.8248,9,0,0,0.0
search,0.1455,5,0,1,9.3064
search,0.1159,2,0,0,0.0
jkl,1.4656,36,0,1,161.3619
social,0.0058,1,0,0,0.0
search,2.2634,91,2,2,92.9771
influencer,0.1463,1,0,0,0.0
social,0.0439,1,0,0,0.0
social,0.1584,6,0,0,0.0
jkl,0.0189,0,0,0,0.0
jkl,0.7592,7,0,0,0.0
search,82.4026,293,7,130,5484.2646
influencer,0.1699,10,0,0,0.0
,0.0064,0,0,0,0.0
jkl,0.002,0,0,0,0.0
social,2.869,202,4,3,90.8648
social,16.8081,154,3,15,1084.4039
influencer,9.6481,156,3,15,689.1862
search,0.0098,0,0,0,0.0
influencer,0.6818,13,0,0,0.0
search,0.3066,9,0,0,0.0
influencer,0.977,25,0,1,95.4309
social,5.7072,304,6,1,73.937
social,39.3863,1783,40,31,3283.7557
jkl,0.106,2,0,4,211.9807
social,1.0355,38,0,0,0.0
social,295.0607,1395,33,591,31944.9407
search,1.705,8,0,2,219.3631
search,0.1959,4,0,0,0.0
search,0.081,0,0,0,0.0
social,4.3264,204,5,2,370.6315
jkl,1.5668,37,0,1,39.3994
influencer,2.7543,64,1,0,0.0
social,0.023,0,0,0,0.0
social,0.0011,0,0,0,0.0
search,0.0004,0,0,0,0.0
social,0.001,0,0,0,0.0
search,124854.0,16798,336,31,92411.0
influencer,0.0001,0,0,0,0.0
jkl,0.0677,3,0,0,0.0
,0.0008,0,0,0,0.0
influencer,0.2726,5,0,0,0.0
jkl,0.043,0,0,0,0.0
search,0.0664,1,0,0,0.0
influencer,1.7502,36,0,1,208.3878
influencer,92.9816,5110,129,83,7288.3363
jkl,1.5879,13,0,2,67.9004
search,0.3668,1,0,0,0.0
jkl,0.3465,2,0,1,181.4184
influencer,2.6195,83,2,0,0.0
jkl,0.0015,0,0,0,0.0
influencer,9.8551,65,1,41,2163.1209
influencer,3.661,68,1,0,0.0
social,0.3056,20,0,0,0.0
social,4.1299,224,5,0,0.0
social,0.0316,1,0,0,0.0
search,0.0343,0,0,0,0.0
social,3.1751,203,4,0,0.0
influencer,0.0027,0,0,0,0.0
social,0.2915,24,0,0,0.0
search,0.048,0,0,0,0.0
,0.0055,0,0,1,67.8397
search,0.1235,1,0,0,0.0
social,2.4374,28,0,3,259.4845
influencer,6.1334,77,1,0,0.0
search,3.0261,115,2,2,115.2837
social,8.3163,89,2,10,1031.7786
jkl,0.0177,0,0,0,0.0
influencer,6.474,69,1,6,793.367
influencer,0.794,7,0,1,85.4
search,2.9801,35,0,1,35.1782
influencer,0.023,0,0,0,0.0
social,115.5026,591,15,592,27056.8423
search,1.6494,49,1,0,0.0
influencer,0.0717,0,0,0,0.0
social,8.4972,137,3,28,936.0407
social,0.056,3,0,0,0.0
search,22.9262,138,3,18,1094.5235
influencer,33.0356,333,8,180,8138.2864
influencer,0.2894,2,0,0,0.0
social,149.445,519,14,537,27876.0372
search,1.6224,33,0,0,0.0
social,1.2483,52,1,0,0.0
influencer,6.0354,130,3,11,1055.7889
jkl,0.0006,0,0,0,0.0
search,13.0325,65,1,61,2419.5312
search,0.329,9,0,0,0.0
search,5.8669,253,6,1,111.3047
,0.0016,0,0,0,0.0
search,0.1653,12,0,0,0.0
influencer,37.3097,777,19,306,14971.3036
social,131236.0,2396,88,15,14715.0
jkl,11.1612,192,4,96,5643.5354
jkl,0.0284,0,0,0,0.0
search,40.2945,218,5,42,3288.2116
social,22.7809,1766,42,18,1683.7638
search,44.4608,211,5,101,4836.1498
influencer,312.8761,8761,214,2733,131937.9849
influencer,10.3599,421,9,52,3475.8029
social,0.7726,47,1,0,0.0
jkl,0.0809,0,0,0,0.0
search,0.0037,0,0,0,0.0
social,0.1153,3,0,0,0.0
search,3.0107,92,2,0,0.0
social,7.8909,89,2,4,769.3119
jkl,0.002,0,0,0,0.0
influencer,0.0233,0,0,0,0.0
jkl,9.8054,631,16,20,797.6519
social,0.113,0,0,0,0.0
social,1.8954,140,3,0,0.0
search,1.283,20,0,1,23.3102
search,0.1358,2,0,0,0.0
social,0.0001,0,0,0,0.0
jkl,0.0029,0,0,0,0.0
jkl,0.0012,0,0,0,0.0
social,6.3531,34,0,1,19.4824
social,1.073,2,0,0,0.0
social,14.0626,115,3,15,1411.4759
,0.0032,0,0,0,0.0
social,7.4193,332,7,2,378.8785
influencer,17.6593,778,21,63,4383.0931
social,0.1279,0,0,0,0.0
jkl,0.4008,7,0,0,0.0
social,40119.2,20392,408,12,23772.0
search,1.7994,82,2,3,60.7067
jkl,0.9565,4,0,0,0.0
social,9.2469,48,1,30,2665.8357
search,4.8542,262,6,1,33.9625
search,0.4486,15,0,0,0.0
search,0.4862,3,0,1,27.2315
social,0.071,1,0,0,0.0
influencer,0.5416,6,0,1,4.1618
influencer,0.9357,42,1,0,0.0
social,0.4474,7,0,0,0.0
influencer,0.0196,0,0,0,0.0
search,1.5686,10,0,5,201.5803
social,7.5218,321,7,3,734.9176
social,0.0235,1,0,0,0.0
search,1.1055,34,0,0,0.0
jkl,0.0031,0,0,0,0.0
influencer,15.3992,99,2,23,936.7507
social,2.5521,7,0,0,0.0
influencer,0.0403,1,0,0,0.0
search,0.0046,0,0,0,0.0
jkl,0.0247,0,0,0,0.0
social,0.0217,0,0,0,0.0
social,0.537,42,1,0,0.0
jkl,0.0779,0,0,0,0.0
influencer,0.0395,0,0,0,0.0
jkl,0.1779,1,0,0,0.0
social,6.3988,238,5,0,0.0
search,0.0997,2,0,0,0.0
jkl,0.0115,0,0,0,0.0
jkl,0.0386,1,0,0,0.0
jkl,0.1629,0,0,0,0.0
social,3.7291,206,5,3,152.5182
social,0.1537,6,0,1,59.4454
jkl,0.5967,23,0,0,0.0
social,0.294,8,0,0,0.0
jkl,0.1519,2,0,0,0.0
search,64.9201,276,6,123,7411.3268
social,0.7711,5,0,0,0.0
jkl,0.0069,0,0,0,0.0
influencer,0.0256,0,0,0,0.0
search,0.0185,0,0,0,0.0
,0.0008,0,0,0,0.0
jkl,0.0019,0,0,0,0.0
social,29.6521,145,3,69,2680.0708
search,0.5364,6,0,0,0.0
social,2.4282,181,4,1,85.3687
social,1.0517,52,1,0,0.0
social,0.4355,58,1,0,0.0
social,0.0007,0,0,0,0.0
social,21.1896,107,2,60,2103.306
social,1.0806,65,1,0,0.0
influencer,0.3568,0,0,0,0.0
,0.0152,0,0,0,0.0
social,33.1929,259,6,199,11641.7297
search,1.8526,64,1,0,0.0
search,0.5475,11,0,0,0.0
search,0.0099,1,0,0,0.0
social,0.0808,0,0,0,0.0
search,60108.8,9591,234,17,58990.0
social,0.0092,3,0,0,0.0
social,0.9673,77,1,0,0.0
social,0.3427,2,0,0,0.0
social,7.9516,58,1,10,907.5142
influencer,0.4666,1,0,0,0.0
influencer,2.7535,36,0,0,0.0
social,0.3773,5,0,2,60.7782
,0.0017,0,0,0,0.0
search,0.1491,13,0,0,0.0
jkl,0.0765,1,0,0,0.0
social,34.2558,2460,65,36,1691.2379
search,9.0061,42,0,9,140.4789
influencer,0.0024,0,0,0,0.0
jkl,0.1781,3,0,0,0.0
influencer,10.1154,131,3,25,1326.9922
influencer,0.0478,0,0,0,0.0
social,4.7576,181,4,0,0.0
influencer,127.0788,1378,34,950,40665.3817
search,4.5437,31,0,5,264.4747
,0.0112,0,0,0,0.0
jkl,0.0326,0,0,0,0.0
social,27.3858,1072,27,23,1839.1407
jkl,3.2863,74,1,1,41.8645
search,1.211,9,0,3,333.1322
social,0.0324,0,0,0,0.0
social,1.3768,107,2,0,0.0
search,0.0509,1,0,0,0.0
influencer,0.4452,5,0,1,34.5693
search,23.8521,129,3,119,5952.3094
influencer,9.239,133,3,15,924.5545
social,0.0331,2,0,0,0.0
jkl,0.0055,0,0,0,0.0
search,0.3078,15,0,0,0.0
social,0.8722,39,0,0,0.0
influencer,0.0061,0,0,0,0.0
influencer,6.2194,81,2,9,579.8177
search,0.1364,9,0,0,0.0
jkl,0.0013,0,0,0,0.0
,0.0232,0,0,0,0.0
jkl,0.0047,0,0,0,0.0
influencer,0.0631,0,0,0,0.0
jkl,0.0519,0,0,0,0.0
social,0.1178,2,0,0,0.0
influencer,0.0004,0,0,0,0.0
social,6.9294,153,4,4,165.5408
search,0.7919,40,0,0,0.0
jkl,0.2783,2,0,0,0.0
search,9.9743,524,13,8,307.3885
social,20.4109,1318,30,13,1243.8709
social,2.7468,168,4,0,0.0
social,216.2068,698,18,562,28925.4517
social,0.5242,4,0,0,0.0
social,455831.0,39593,853,68,387124.0
influencer,8.8199,40,1,48,2309.36
social,0.3352,31,0,0,0.0
influencer,0.0331,0,0,0,0.0
jkl,2.4656,23,0,1,15.7847
social,485.5104,2428,66,1391,68932.4537
social,0.0021,0,0,0,0.0
jkl,1.2432,17,0,4,124.4947
social,0.701,4,0,5,136.6341
influencer,0.7187,1,0,0,0.0
influencer,19.9583,178,4,59,1610.4097
jkl,1.1325,20,0,0,0.0
search,0.0636,0,0,0,0.0
search,0.0165,0,0,0,0.0
social,0.3005,6,0,0,0.0
search,0.3588,8,0,0,0.0
jkl,7.6688,139,3,58,1757.5071
jkl,6.022,89,2,45,1847.9765
social,0.0063,2,0,0,0.0
social,9.6164,103,2,13,775.1475
search,0.147,1,0,0,0.0
social,7.5723,356,8,8,398.1852
social,0.7681,3,0,4,115.6854
jkl,0.6118,19,0,0,0.0
influencer,0.0032,0,0,0,0.0
search,3.0008,27,0,4,46.175
social,180.8375,893,21,1121,53300.475
search,17.1508,219,5,118,6220.4678
social,0.7154,52,1,0,0.0
jkl,0.0158,0,0,0,0.0
search,0.3101,14,0,8,347.3557
jkl,0.2769,4,0,0,0.0
search,0.1478,0,0,0,0.0
jkl,5.8763,32,0,14,843.9856
jkl,0.3411,17,0,0,0.0
search,0.0433,5,0,0,0.0
influencer,0.0007,0,0,0,0.0
social,0.0016,1,0,0,0.0
social,0.5695,10,0,0,0.0
jkl,0.0322,0,0,0,0.0
search,0.0161,0,0,0,0.0
influencer,1.1361,31,0,2,121.6665
jkl,0.0007,0,0,0,0.0
jkl,5.6961,87,2,39,2499.5903
influencer,0.9803,24,0,3,863.1507
influencer,1.2012,74,1,2,281.4584
search,2.0791,67,1,0,0.0
influencer,0.2062,3,0,0,0.0
social,2.2558,37,0,6,375.6748
social,1.5212,19,0,2,446.7225
influencer,0.1205,0,0,0,0.0
influencer,0.0113,0,0,0,0.0
influencer,208.0751,1235,29,789,37919.196
social,1.4841,114,3,0,0.0
social,2.6643,162,4,1,63.5504
social,0.1389,43,1,0,13.6249
jkl,4.3518,30,0,23,1955.5732
search,0.2959,20,0,1,16.9379
social,3.0055,171,3,0,0.0
influencer,0.0439,0,0,0,0.0
social,178.2025,1359,33,554,30241.5746
social,3.8491,35,0,4,178.9927
influencer,10.9614,116,3,18,693.3314
social,0.4576,10,0,2,22.4238
jkl,0.0008,0,0,0,0.0
search,23.7138,175,4,22,1201.0775
social,0.0009,0,0,0,0.0
social,10.9275,64,1,59,2277.565
social,124.9583,1027,23,507,22253.6558
social,40099.0,1202,24,5,4905.0
search,10.1591,361,8,3,709.7867
jkl,0.0472,0,0,0,0.0
jkl,0.002,0,0,0,0.0
search,1.0279,55,1,1,80.3411
