category,cost,leads
search,7.6061,0
search,0.4566,0
social,3.6499,1
jkl,0.0035,0
search,3.1877,0
influencer,0.0132,0
influencer,0.0576,0
jkl,1.4433,0
social,0.0539,0
jkl,0.0122,0
influencer,1.2284,1
search,0.0021,0
influencer,111.3258,61
influencer,0.0471,0
influencer,0.026,0
search,0.3519,0
influencer,0.0025,0
search,28.7436,4
jkl,0.0213,0
influencer,0.9917,0
influencer,49.9775,32
jkl,0.0117,0
search,0.0151,0
influencer,17.8738,5
social,0.6093,0
social,3.8768,5
social,0.0016,0
social,1.8621,0
jkl,0.0227,0
jkl,0.0011,0
influencer,0.037,0
social,3.0391,3
social,1.5488,2
influencer,0.4247,0
influencer,0.2402,0
influencer,0.1177,0
jkl,0.0298,0
influencer,0.7467,0
jkl,0.0038,0
jkl,0.0026,0
influencer,1.5072,2
,0.011,0
search,0.2221,0
influencer,0.667,0
social,0.0006,0
search,76.9999,11
social,15.5577,3
influencer,0.3784,0
jkl,0.217,0
influencer,0.0012,0
search,0.0556,0
social,131.8571,14
influencer,9.9332,8
social,0.0131,0
,0.0032,0
jkl,0.0054,0
jkl,2.2134,1
jkl,0.0131,0
search,6426.0,18
jkl,0.0027,0
search,1.2966,0
jkl,0.2053,0
jkl,0.3306,0
influencer,6.1951,1
search,0.5654,0
social,0.5045,1
search,42.1656,4
influencer,39.9268,27
jkl,0.0201,0
search,3.3303,0
influencer,0.0976,0
influencer,0.0814,0
influencer,3.8375,2
social,0.1535,0
,0.0006,0
jkl,0.0075,0
search,12581.6,24
influencer,1.0596,0
jkl,0.0003,0
social,0.0009,0
search,0.1,0
influencer,11.2618,9
search,9.4,1
search,0.0186,0
jkl,0.02,0
search,0.2012,0
search,17.3983,23
social,0.0012,0
influencer,1.7313,2
influencer,6.0305,2
social,3.4543,3
social,85.3372,11
influencer,0.0024,0
search,0.0184,0
influencer,0.0588,0
search,23.5782,3
jkl,0.0008,0
influencer,11.5244,2
social,2.6483,3
influencer,0.0663,0
social,29.8327,53
jkl,0.0345,0
search,0.7858,0
jkl,0.2125,0
jkl,0.0886,0
social,0.0041,0
search,0.2967,0
social,6.1793,1
search,2.1823,1
influencer,0.0021,0
influencer,1.5873,0
search,0.002,0
jkl,0.0003,0
search,34.571,4
influencer,4.6136,1
social,4.8674,1
social,0.0088,0
search,0.1203,0
search,0.0208,0
influencer,0.0008,0
jkl,0.0938,0
social,78.5331,11
search,0.001,0
jkl,0.0006,0
influencer,0.0057,0
search,2.7912,0
,0.0006,0
search,0.3585,0
influencer,0.0012,0
social,0.5661,1
search,0.9696,0
jkl,0.107,0
influencer,1.9475,2
jkl,0.0015,0
influencer,197161.0,474
search,0.1069,0
social,4.8905,8
influencer,0.0526,0
search,0.1738,0
media,25023.2,67
social,0.022,0
influencer,0.0118,0
search,0.0127,0
influencer,0.0324,0
jkl,0.304,0
jkl,0.0026,0
influencer,0.0011,0
influencer,0.0039,0
search,1.34,1
social,404737.0,1003
jkl,0.0087,0
social,0.0147,0
search,0.2947,0
influencer,0.2455,0
social,18.548,4
search,0.1655,0
influencer,176.8524,206
jkl,1.9027,0
social,5.5762,2
social,3.32,2
influencer,8.06,5
influencer,21.9762,19
social,0.2882,0
influencer,1.0955,0
jkl,0.0006,0
influencer,0.0068,0
search,1.3099,0
search,0.0008,0
influencer,1.3129,0
jkl,0.4073,0
search,1.2491,1
influencer,0.8293,0
social,3.325,0
jkl,12.3021,26
jkl,0.0465,0
search,5.2019,1
social,0.0928,0
jkl,0.0006,0
search,0.0811,0
social,0.4926,0
social,1.7658,2
jkl,0.0015,0
influencer,6.1899,2
social,1.078,1
influencer,19.6715,18
influencer,0.0331,0
social,0.0025,0
jkl,0.0008,0
social,7.0855,1
search,1.811,1
social,0.0007,0
social,1.4337,0
jkl,0.0033,0
search,0.6514,0
search,10.0631,1
jkl,0.6712,0
social,6.6036,8
social,0.0095,0
search,0.3798,0
jkl,16.8376,7
social,4.5331,0
influencer,0.0179,0
influencer,0.1936,0
social,0.6929,0
jkl,0.4121,0
social,33.0858,4
jkl,0.0191,0
search,1.1694,0
social,3.0873,5
influencer,0.0839,0
jkl,0.0099,0
jkl,0.0175,0
social,104.1494,21
jkl,0.0077,0
influencer,2.7266,0
social,0.0028,0
social,9.025,1
influencer,0.0003,0
jkl,0.0006,0
influencer,0.0085,0
jkl,0.1082,0
jkl,0.0011,0
jkl,0.0061,0
jkl,8.5749,5
,0.0192,0
influencer,0.0171,0
search,0.0307,0
social,0.0108,0
social,0.1117,0
influencer,12.4544,3
jkl,0.0304,0
social,1.7689,2
influencer,0.0004,0
search,2.9968,0
search,10.9554,1
social,1.127,1
search,36.3597,4
jkl,0.1721,0
jkl,1.2284,0
social,0.2915,0
search,0.2302,0
social,7.8852,2
influencer,0.5262,0
social,3.4867,0
social,0.8054,1
social,8.8901,3
social,99.7965,15
jkl,0.1187,0
search,0.4246,0
social,3.7311,3
search,2.3665,0
search,0.2287,0
social,760.75,4
search,0.0988,0
influencer,1.9994,0
social,0.2893,0
influencer,7.6335,1
influencer,0.0112,0
social,0.8248,0
search,0.1455,0
search,0.1159,0
jkl,1.4656,0
social,0.0058,0
search,2.2634,2
influencer,0.1463,0
social,0.0439,0
social,0.1584,0
jkl,0.0189,0
jkl,0.7592,0
search,82.4026,7
influencer,0.1699,0
,0.0064,0
jkl,0.002,0
social,2.869,4
social,16.8081,3
influencer,9.6481,3
search,0.0098,0
influencer,0.6818,0
search,0.3066,0
influencer,0.977,0
social,5.7072,7
social,39.3863,47
jkl,0.106,0
social,1.0355,0
social,295.0607,38
search,1.705,0
search,0.1959,0
search,0.081,0
social,4.3264,4
jkl,1.5668,0
influencer,2.7543,1
social,0.023,0
social,0.0011,0
search,0.0004,0
social,0.001,0
search,124854.0,336
influencer,0.0001,0
jkl,0.0677,0
,0.0008,0
influencer,0.2726,0
jkl,0.043,0
search,0.0664,0
influencer,1.7502,0
influencer,92.9816,134
jkl,1.5879,0
search,0.3668,0
jkl,0.3465,0
influencer,2.6195,2
jkl,0.0015,0
influencer,9.8551,1
influencer,3.661,1
social,0.3056,0
social,4.1299,5
social,0.0316,0
search,0.0343,0
social,3.1751,5
influencer,0.0027,0
social,0.2915,0
search,0.048,0
,0.0055,0
search,0.1235,0
social,2.4374,0
influencer,6.1334,1
search,3.0261,2
social,8.3163,2
jkl,0.0177,0
influencer,6.474,1
influencer,0.794,0
search,2.9801,0
influencer,0.023,0
social,115.5026,13
search,1.6494,1
influencer,0.0717,0
social,8.4972,3
social,0.056,0
search,22.9262,3
influencer,33.0356,7
influencer,0.2894,0
social,149.445,13
search,1.6224,0
social,1.2483,1
influencer,6.0354,3
jkl,0.0006,0
search,13.0325,1
search,0.329,0
search,5.8669,6
,0.0016,0
search,0.1653,0
influencer,37.3097,18
social,131236.0,88
jkl,11.1612,4
jkl,0.0284,0
search,40.2945,5
social,22.7809,45
search,44.4608,5
influencer,312.8761,218
influencer,10.3599,10
social,0.7726,1
jkl,0.0809,0
search,0.0037,0
social,0.1153,0
search,3.0107,2
social,7.8909,2
jkl,0.002,0
influencer,0.0233,0
jkl,9.8054,14
social,0.113,0
social,1.8954,3
search,1.283,0
search,0.1358,0
social,0.0001,0
jkl,0.0029,0
jkl,0.0012,0
social,6.3531,0
social,1.073,0
social,14.0626,2
,0.0032,0
social,7.4193,8
influencer,17.6593,18
social,0.1279,0
jkl,0.4008,0
social,40119.2,408
search,1.7994,2
jkl,0.9565,0
social,9.2469,1
search,4.8542,6
search,0.4486,0
search,0.4862,0
social,0.071,0
influencer,0.5416,0
influencer,0.9357,0
social,0.4474,0
influencer,0.0196,0
search,1.5686,0
social,7.5218,8
social,0.0235,0
search,1.1055,0
jkl,0.0031,0
influencer,15.3992,2
social,2.5521,0
influencer,0.0403,0
search,0.0046,0
jkl,0.0247,0
social,0.0217,0
social,0.537,1
jkl,0.0779,0
influencer,0.0395,0
jkl,0.1779,0
social,6.3988,5
search,0.0997,0
jkl,0.0115,0
jkl,0.0386,0
jkl,0.1629,0
social,3.7291,5
social,0.1537,0
jkl,0.5967,0
social,0.294,0
jkl,0.1519,0
search,64.9201,6
social,0.7711,0
jkl,0.0069,0
influencer,0.0256,0
search,0.0185,0
,0.0008,0
jkl,0.0019,0
social,29.6521,3
search,0.5364,0
social,2.4282,4
social,1.0517,1
social,0.4355,1
social,0.0007,0
social,21.1896,2
social,1.0806,1
influencer,0.3568,0
,0.0152,0
social,33.1929,6
search,1.8526,1
search,0.5475,0
search,0.0099,0
social,0.0808,0
search,60108.8,234
social,0.0092,0
social,0.9673,2
social,0.3427,0
social,7.9516,1
influencer,0.4666,0
influencer,2.7535,0
social,0.3773,0
,0.0017,0
search,0.1491,0
jkl,0.0765,0
social,34.2558,56
search,9.0061,1
influencer,0.0024,0
jkl,0.1781,0
influencer,10.1154,2
influencer,0.0478,0
social,4.7576,4
influencer,127.0788,36
search,4.5437,0
,0.0112,0
jkl,0.0326,0
social,27.3858,27
jkl,3.2863,1
search,1.211,0
social,0.0324,0
social,1.3768,2
search,0.0509,0
influencer,0.4452,0
search,23.8521,3
influencer,9.239,3
social,0.0331,0
jkl,0.0055,0
search,0.3078,0
social,0.8722,0
influencer,0.0061,0
influencer,6.2194,1
search,0.1364,0
jkl,0.0013,0
,0.0232,0
jkl,0.0047,0
influencer,0.0631,0
jkl,0.0519,0
social,0.1178,0
influencer,0.0004,0
social,6.9294,3
search,0.7919,0
jkl,0.2783,0
search,9.9743,12
social,20.4109,31
social,2.7468,3
social,216.2068,15
social,0.5242,0
social,455831.0,853
influencer,8.8199,0
social,0.3352,0
influencer,0.0331,0
jkl,2.4656,0
social,485.5104,64
social,0.0021,0
jkl,1.2432,0
social,0.701,0
influencer,0.7187,0
influencer,19.9583,4
jkl,1.1325,0
search,0.0636,0
search,0.0165,0
social,0.3005,0
search,0.3588,0
jkl,7.6688,3
jkl,6.022,2
social,0.0063,0
social,9.6164,2
search,0.147,0
social,7.5723,8
social,0.7681,0
jkl,0.6118,0
influencer,0.0032,0
search,3.0008,0
social,180.8375,21
search,17.1508,5
social,0.7154,1
jkl,0.0158,0
search,0.3101,0
jkl,0.2769,0
search,0.1478,0
jkl,5.8763,0
jkl,0.3411,0
search,0.0433,0
influencer,0.0007,0
social,0.0016,0
social,0.5695,0
jkl,0.0322,0
search,0.0161,0
influencer,1.1361,0
jkl,0.0007,0
jkl,5.6961,1
influencer,0.9803,0
influencer,1.2012,1
search,2.0791,1
influencer,0.2062,0
social,2.2558,0
social,1.5212,0
influencer,0.1205,0
influencer,0.0113,0
influencer,208.0751,28
social,1.4841,2
social,2.6643,4
social,0.1389,0
jkl,4.3518,0
search,0.2959,0
social,3.0055,4
influencer,0.0439,0
social,178.2025,36
social,3.8491,0
influencer,10.9614,3
social,0.4576,0
jkl,0.0008,0
search,23.7138,4
social,0.0009,0
social,10.9275,1
social,124.9583,26
social,40099.0,24
search,10.1591,9
jkl,0.0472,0
jkl,0.002,0
search,1.0279,1
influencer,36.6545,19
jkl,2.0907,0
search,1.8266,2
jkl,0.0066,0
social,300.5117,28
influencer,0.4604,0
influencer,0.0017,0
jkl,0.0131,0
social,0.7774,1
social,0.0002,0
social,0.0025,0
influencer,0.2416,0
search,2.648,0
jkl,7.0495,1
influencer,2.524,2
search,1.3703,0
jkl,0.0038,0
jkl,0.0013,0
jkl,2.0238,0
influencer,0.0698,0
search,0.1544,0
social,6.8379,6
influencer,0.0424,0
search,1.3118,0
influencer,0.0313,0
social,0.0038,0
social,3.8647,0
jkl,0.9325,0
social,0.1114,0
jkl,0.014,0
influencer,0.2375,0
jkl,0.1989,0
jkl,1.0362,0
influencer,1.0617,0
social,5.0773,7
search,50.5157,8
influencer,0.1708,0
search,0.0033,0
search,1.1865,0
influencer,1.4797,0
jkl,0.0145,0
jkl,0.011,0
influencer,41.7175,9
social,0.0016,0
search,0.0085,0
social,0.0271,0
influencer,10.9588,7
search,1.2516,0
social,0.0032,0
social,127.4468,20
social,0.0003,0
jkl,0.1082,0
jkl,0.2453,0
social,334.5504,34
social,0.0407,0
search,0.0172,0
jkl,0.0077,0
influencer,0.6205,0
influencer,1.718,0
social,0.1516,0
influencer,0.0032,0
search,0.2315,0
jkl,0.0013,0
social,0.0001,0
social,308.5376,36
jkl,0.003,0
jkl,0.0073,0
jkl,0.0704,0
social,0.8421,0
social,0.1855,0
influencer,328.8413,192
,0.0048,0
social,6.1214,1
social,0.0156,0
search,6.2297,0
jkl,12.845,5
social,45.4911,5
social,0.0105,0
search,0.045,0
search,0.3015,0
jkl,2.5726,0
social,48.1883,6
social,1.7242,3
search,0.1605,0
search,1.3562,0
search,24.7539,2
jkl,0.0299,0
influencer,0.1847,0
search,0.1271,0
search,3.4226,0
search,2.2981,2
jkl,0.0087,0
influencer,1.8808,0
search,0.0055,0
search,0.3507,0
influencer,12.9019,3
social,44.9591,6
jkl,0.286,0
influencer,0.0305,0
jkl,0.0025,0
influencer,0.0462,0
search,1.0549,0
,0.024,0
social,0.1221,0
jkl,0.0063,0
search,46.7391,7
jkl,0.0032,0
influencer,1.3592,0
influencer,0.0841,0
search,1.1285,0
social,0.1831,0
influencer,0.1031,0
influencer,0.0411,0
search,11.0669,12
social,2.4924,3
search,1.2719,0
search,1.1176,1
influencer,0.021,0
search,1.4112,0
social,0.1571,0
social,0.227,0
jkl,0.0075,0
social,0.289,0
search,0.949,1
influencer,0.2393,0
search,0.9594,0
jkl,0.011,0
search,6.1647,12
social,223.8048,20
influencer,363811.0,746
jkl,0.0064,0
jkl,0.0126,0
social,0.0209,0
influencer,1.5399,2
influencer,4.3401,1
social,0.2438,0
social,0.0028,0
social,7.4986,2
social,5.7155,1
search,0.2218,0
influencer,143.5732,49
search,0.0116,0
social,0.4177,0
social,0.7825,1
social,2.9318,2
social,2.577,0
influencer,204.7846,66
influencer,0.027,0
social,4.4057,0
search,0.1392,0
influencer,14.4543,2
jkl,0.0664,0
search,0.0979,0
influencer,3.2046,0
social,21.4102,8
,0.0008,0
search,0.1507,0
influencer,0.0184,0
social,4.5941,3
social,0.0266,0
influencer,0.0166,0
jkl,0.0851,0
social,0.3291,0
search,4.7019,1
influencer,0.6337,0
social,0.4328,0
search,0.1888,0
jkl,0.0007,0
jkl,0.0873,0
jkl,0.1323,0
jkl,0.0017,0
jkl,0.0867,0
jkl,2.1452,1
jkl,0.5109,0
influencer,27833.0,90
social,1.6513,0
search,1.3878,1
influencer,4.4316,1
jkl,0.0034,0
influencer,0.1308,0
influencer,5.0228,1
influencer,0.8323,0
jkl,0.2683,0
search,0.6807,0
search,0.6881,1
jkl,5.6064,1
search,22.7877,2
jkl,0.0231,0
search,0.5894,0
influencer,1.6759,0
social,0.7263,0
search,0.0024,0
social,2.4138,3
social,9.4151,16
influencer,0.017,0
influencer,167.2322,51
search,0.0096,0
social,0.136,0
social,1.0973,2
influencer,0.8829,0
search,0.0108,0
social,0.0228,0
search,0.7008,0
search,16.6398,1
social,4.3012,1
social,0.3241,0
jkl,0.0061,0
,0.008,0
search,0.3988,0
social,17.8975,5
influencer,7.3785,1
jkl,0.0435,0
social,0.0369,0
search,11.1002,23
influencer,8.6472,10
search,0.1468,0
jkl,5.7921,1
search,0.1188,0
social,0.6375,0
,0.0144,0
influencer,286.3959,165
influencer,0.0003,0
social,9.713,10
search,0.7085,0
social,3435.44,6
social,9.7138,3
search,0.3202,0
jkl,0.3514,0
influencer,0.0028,0
influencer,1.19,0
jkl,0.3847,0
jkl,0.0008,0
jkl,0.2283,0
social,3.9778,1
influencer,3.2725,1
social,2.9231,4
,0.0008,0
jkl,2.7384,0
search,1.1958,1
social,0.0679,0
search,0.9565,0
jkl,1.4866,0
influencer,0.016,0
jkl,0.7406,0
influencer,0.0349,0
search,1.4004,0
social,197948.0,396
jkl,0.0259,0
social,2.8845,0
search,1.1236,0
social,1.8682,0
jkl,0.03,0
influencer,0.4714,0
influencer,0.1315,0
influencer,0.0416,0
jkl,0.0397,0
search,0.4279,0
social,66.0523,108
influencer,0.7778,0
influencer,0.4428,0
jkl,0.078,0
social,133.8498,17
jkl,0.0281,0
,0.0016,0
jkl,0.0015,0
influencer,13.8797,11
search,0.002,0
search,0.7459,0
influencer,247.9396,63
social,0.9475,2
search,5.9057,1
influencer,1.5888,0
social,513.3684,51
jkl,0.2482,0
jkl,0.3142,0
search,0.3642,0
influencer,0.5133,0
search,0.1324,0
jkl,1.7273,1
jkl,0.0068,0
search,0.0177,0
search,0.1393,0
search,0.3905,0
jkl,0.0034,0
search,3.6232,8
social,0.4186,0
,0.0008,0
social,0.2819,0
social,2.5422,0
search,0.1027,0
search,0.5463,0
,0.0096,0
jkl,0.0169,0
influencer,1.2827,0
social,4.9152,0
jkl,0.0353,0
social,2.2813,2
social,96.3619,132
influencer,157.9301,53
jkl,0.0161,0
influencer,6.2484,1
influencer,0.0424,0
social,1.4233,0
influencer,256.2873,153
search,18.0447,16
influencer,0.3718,0
search,8.0871,0
search,0.0072,0
search,0.167,0
influencer,0.6727,0
social,0.3328,0
social,17.2005,4
influencer,0.0183,0
influencer,0.6378,0
social,0.0005,0
influencer,1.698,1
jkl,0.1281,0
jkl,1.4911,0
search,9.3153,0
influencer,0.9645,0
search,4.2832,5
social,0.0032,0
social,515.8464,45
jkl,0.0071,0
social,0.5712,0
search,0.9868,0
influencer,0.0315,0
social,217.2611,20
social,1.3733,1
jkl,0.0219,0
influencer,0.4921,0
social,1.1711,0
social,39.3483,37
social,16.1393,4
social,157.1906,16
search,54.6646,8
social,6.7208,1
social,0.0026,0
social,0.4143,0
influencer,0.796,0
search,0.0268,0
jkl,0.3058,0
influencer,147.782,17
social,0.0008,0
jkl,13.4877,6
social,0.0621,0
social,0.0004,0
jkl,0.0029,0
influencer,0.0023,0
social,0.2528,0
social,0.0036,0
jkl,0.0021,0
search,72.5007,8
influencer,0.0377,0
jkl,0.2836,0
social,0.0398,0
search,0.5722,0
search,0.3111,0
jkl,0.009,0
jkl,0.0963,0
search,46.6145,5
search,0.4495,0
social,0.0081,0
influencer,0.1441,0
social,1.0687,1
influencer,0.5427,0
influencer,7.5325,2
search,0.527,0
search,0.0087,0
influencer,0.1049,0
search,0.4102,0
social,0.0034,0
jkl,0.552,0
search,0.021,0
jkl,7.559,2
social,17.0438,4
search,0.2334,0
jkl,0.0089,0
search,0.1121,0
jkl,0.0779,0
influencer,1.8769,1
jkl,0.0093,0
jkl,2.8479,0
influencer,0.1404,0
jkl,0.1581,0
search,0.9509,0
jkl,0.008,0
social,5.5707,2
search,2.0764,1
influencer,179.7696,24
social,1.9898,0
jkl,0.0549,0
search,3.7511,9
influencer,255.7159,35
influencer,1.9114,1
social,4.0911,5
jkl,1.2433,0
social,347.5567,36
search,0.132,0
search,1.0802,1
jkl,1.131,0
search,0.0368,0
jkl,0.1915,0
search,0.0844,0
influencer,0.0011,0
jkl,0.182,0
social,0.0023,0
jkl,9.3414,3
jkl,0.0225,0
search,0.4308,0
search,1.5542,1
influencer,0.1032,0
search,2.1949,1
social,0.0098,0
search,0.0182,0
jkl,0.0034,0
search,0.2439,0
search,0.0493,0
social,3.6979,5
social,1.0982,0
jkl,0.0177,0
jkl,0.2201,0
search,39.3229,6
social,0.934,1
jkl,0.0167,0
influencer,0.2616,0
search,0.9711,0
jkl,0.1223,0
search,0.0469,0
search,1.967,0
jkl,0.2382,0
social,5.4339,0
jkl,0.0484,0
search,0.1261,0
search,0.01,0
search,34.7201,5
jkl,0.1179,0
influencer,0.0051,0
influencer,0.454,0
influencer,0.191,0
influencer,0.0027,0
search,42.6826,4
search,0.1292,0
search,0.0004,0
influencer,0.3288,0
influencer,4.3716,1
search,61588.1,100
social,404.9274,36
search,0.6105,0
social,64.4121,132
search,0.9308,2
jkl,0.5564,0
search,0.8504,1
jkl,0.2463,0
influencer,0.0668,0
influencer,0.2,0
jkl,0.5779,0
search,3.1326,2
jkl,12.6756,4
search,0.0032,0
influencer,0.692,1
search,0.0177,0
search,0.1876,0
influencer,0.0824,0
social,1.9863,2
search,0.405,0
social,390.7116,36
jkl,0.002,0
search,0.0127,0
social,0.0153,0
social,1.8751,3
influencer,0.1846,0
social,0.4938,0
,0.0048,0
search,0.0585,0
jkl,0.0642,0
social,17.8927,34
jkl,0.0149,0
social,0.6523,0
search,0.183,0
jkl,0.895,0
social,5.0344,1
search,0.4048,0
search,0.1669,0
search,0.0033,0
influencer,9.6159,3
jkl,5.1941,1
social,2.8413,0
social,6.6962,2
search,0.8569,0
,0.012,0
social,0.6457,0
,0.022,0
jkl,0.0738,0
search,1.9441,0
social,4.5989,2
,0.0072,0
influencer,7.0324,4
jkl,0.0027,0
social,28.1005,20
social,0.0216,0
search,0.1595,0
social,1.9558,0
jkl,0.0385,0
influencer,1.3135,0
jkl,0.1389,0
,0.0027,0
social,3.0767,5
social,0.2228,0
jkl,0.1401,0
media,177746.0,336
social,1421.34,14
influencer,14.0088,13
search,0.1296,0
influencer,0.7249,0
social,0.0565,0
influencer,0.0928,0
social,0.1022,0
search,0.1779,0
,0.0032,0
social,121.2219,20
jkl,11.1808,4
social,18.8695,7
influencer,0.5062,0
influencer,0.0162,0
social,8.0963,3
search,0.2306,0
influencer,0.1763,0
jkl,0.045,0
influencer,0.1173,0
search,1.4853,1
search,0.0209,0
search,9.6584,18
jkl,1.4761,0
social,5.3274,5
social,0.4487,0
jkl,0.0349,0
social,0.2318,0
search,15.2085,16
,0.0016,0
social,0.1195,0
influencer,6.2793,1
influencer,1.258,1
search,0.122,0
social,0.2858,0
social,0.0128,0
social,0.0003,0
influencer,7.8413,3
jkl,0.0218,0
social,0.0468,0
search,0.25,0
social,0.5962,0
jkl,0.0042,0
influencer,0.3365,0
jkl,1.1283,0
jkl,0.0025,0
social,0.3273,0
social,0.1342,4
social,31.6884,4
social,70.6445,6
influencer,0.0003,0
social,0.2728,0
social,0.0,0
influencer,0.0045,0
jkl,0.004,0
social,7.4608,2
search,0.0049,0
social,3.3348,5
influencer,3.5077,0
search,1.2167,0
social,6.2418,7
search,0.7153,0
search,0.1567,0
search,10.7419,14
search,0.0015,0
jkl,0.036,0
social,24.7518,3
social,0.0019,0
influencer,0.46,0
search,0.314,0
social,92.7635,14
social,73.6068,8
jkl,0.4996,0
social,3.521,0
influencer,9.2657,7
search,0.002,0
influencer,0.0116,0
jkl,0.0501,0
social,3.793,5
jkl,0.0036,0
social,17.9887,35
search,0.8618,0
social,0.6141,0
jkl,4.5815,0
search,0.4151,0
social,187.0482,24
influencer,7.59,2
social,0.0285,0
social,3.9732,2
influencer,0.0646,0
jkl,0.0102,0
search,0.9995,0
social,0.3553,0
influencer,1.4781,0
search,2.8465,4
social,0.2423,0
social,1.8478,2
jkl,0.0124,0
search,0.0013,0
social,0.3297,0
social,0.2837,1
social,367.3662,36
influencer,1.7988,0
influencer,0.0373,0
jkl,11.7014,4
influencer,0.294,0
social,0.0182,0
social,0.0008,0
jkl,0.0002,0
jkl,5.734,3
influencer,0.0201,0
influencer,0.0115,0
search,1.3961,0
social,0.0004,0
influencer,0.1843,0
search,5.9462,0
influencer,0.0258,0
search,0.1319,0
search,0.3638,0
influencer,0.0213,0
search,0.832,0
jkl,0.002,0
jkl,0.0005,0
social,299.7282,34
social,0.7642,0
social,3.2369,5
search,0.3114,0
search,0.0852,0
social,15.3196,3
influencer,0.0289,0
search,27.0491,21
social,0.1008,0
jkl,0.0286,0
search,0.7333,0
search,0.5635,0
search,0.0105,0
search,0.0133,0
jkl,0.0056,0
social,0.0314,0
influencer,42.5835,27
social,1.8236,4
social,5.4304,6
social,0.2216,0
social,0.2992,0
social,3.9345,1
social,2.7964,2
influencer,0.0446,0
jkl,0.008,0
social,0.2878,0
social,124.3772,21
search,0.1532,0
jkl,0.0047,0
social,0.0636,0
influencer,0.0287,0
social,4.2653,1
social,0.2669,0
jkl,0.0003,0
search,0.4069,0
jkl,0.0466,0
search,1.4079,0
social,10357.0,13
jkl,1.1509,0
influencer,11.9754,1
