category,cost,clicks,leads,orders,revenue
influencer,363811.0,40494,746,149,1189170.0
social,246023.0,24294,606,73,496546.0
social,162819.0,45907,974,46,121900.0
social,31422.5,2698,54,11,45441.0
social,291254.0,10810,216,32,31392.0
influencer,462606.0,26990,795,119,592739.0
media,523398.0,37805,756,142,565302.0
social,30892.2,23991,61,6,25686.0
social,373294.0,33003,1313,51,237711.0
search,119542.0,9004,162,28,214368.0
search,200986.0,24005,480,43,93353.0
influencer,86522.9,45004,144,31,256897.0
social,241388.0,27009,599,72,430632.0
social,58596.4,51000,1020,16,36016.0
social,17176.7,2991,28,6,33930.0
social,171831.0,11991,128,19,17917.0
influencer,518530.0,30000,1032,134,796630.0
media,339735.0,41997,840,114,516420.0
social,53253.9,26407,71,10,44550.0
social,415376.0,36304,726,58,288898.0
search,9777.55,9904,14,2,15962.0
search,81623.5,26406,281,20,72300.0
influencer,880357.0,49510,1666,369,2812520.0
social,300775.0,29699,1082,96,574176.0
social,9908.98,56110,185,3,3621.0
social,3173.41,3297,7,1,5199.0
social,440355.0,13202,264,45,80325.0
influencer,404285.0,32999,694,104,519272.0
media,492126.0,46209,924,139,556417.0
social,56874.2,28796,88,12,59772.0
social,455831.0,39593,853,68,387124.0
search,190469.0,10809,359,47,365378.0
search,435770.0,28810,732,96,253440.0
influencer,303860.0,53993,1094,182,1452540.0
social,404737.0,32395,1003,139,847066.0
social,150065.0,61195,1224,48,73392.0
social,73587.5,3594,116,24,119544.0
social,173041.0,14399,113,18,17658.0
influencer,504576.0,35994,822,137,682397.0
media,750361.0,50408,1678,252,1003210.0
social,38596.7,2393,66,7,31094.0
social,39481.0,3299,113,6,29538.0
search,9444.12,907,18,2,15962.0
search,17476.2,2392,48,5,12910.0
influencer,30801.0,4507,90,20,159620.0
social,29457.5,2709,60,10,55540.0
social,12503.5,5104,102,4,7924.0
social,1555.96,296,3,1,3993.0
social,32169.9,1194,24,4,3924.0
influencer,65006.3,3009,89,17,84677.0
media,25023.2,4208,67,10,31710.0
social,59710.0,4802,96,12,67632.0
social,95536.2,6606,132,14,69734.0
search,30645.4,1810,65,7,59045.0
search,12348.3,4798,39,4,11924.0
influencer,77803.8,8997,180,42,359394.0
social,33474.7,5397,108,9,53829.0
social,19196.6,10202,124,7,14602.0
social,5792.48,598,12,3,12168.0
social,51783.3,2396,48,6,5886.0
influencer,137382.0,5997,236,35,158340.0
media,60021.6,8409,168,20,80600.0
social,9858.28,1203,28,2,9962.0
social,19350.0,1641,37,3,12225.0
search,5409.21,442,9,2,15050.0
search,12581.6,1205,24,3,8943.0
influencer,16343.0,2246,45,8,63848.0
social,557.25,1349,1,0,0.0
social,4285.44,2560,51,2,2934.0
social,1238.09,155,3,1,5265.0
social,16078.6,608,12,2,2720.0
influencer,15435.0,1500,31,4,17816.0
media,16706.4,2099,42,6,23886.0
social,94564.2,2408,93,15,81825.0
social,44347.2,3297,66,7,34867.0
search,14306.2,903,18,3,23943.0
search,22357.6,2408,52,5,19060.0
influencer,22944.3,4508,65,14,111734.0
social,23908.4,2703,42,7,36456.0
social,18675.0,5098,122,6,10590.0
social,2857.1,297,6,1,4981.0
social,48796.6,1196,38,6,8178.0
influencer,42311.5,2990,60,9,44829.0
media,34169.9,4205,84,16,63696.0
social,11230.2,473,15,2,10104.0
social,10357.0,657,13,2,9962.0
search,1078.73,175,1,0,0.0
search,9472.22,487,19,2,5730.0
influencer,9034.91,904,22,5,38030.0
social,2304.01,530,6,1,5981.0
social,2059.03,1015,20,1,1981.0
social,1487.47,66,3,1,4461.0
social,5871.29,250,5,1,981.0
influencer,6227.53,591,12,2,10130.0
media,7583.66,848,17,3,11943.0
social,19887.7,1207,39,4,22488.0
social,17935.4,1657,33,3,15345.0
search,1545.74,449,2,0,0.0
search,4453.1,1203,11,1,2283.0
influencer,38804.2,2247,82,16,127696.0
social,12592.4,1342,27,4,26556.0
social,2403.54,2543,73,1,1981.0
social,1071.16,143,3,1,4981.0
social,315.92,610,0,0,0.0
influencer,15596.0,1497,34,5,25205.0
media,8087.73,2093,22,3,12213.0
social,5003.33,241,9,1,4223.0
social,3235.77,332,13,0,0.0
search,1754.25,83,2,0,0.0
search,1487.24,243,5,0,0.0
influencer,5721.83,440,15,3,23943.0
social,1832.16,275,6,1,5981.0
social,254.14,503,3,0,0.0
social,200.42,20,0,0,0.0
social,3098.45,115,2,0,0.0
influencer,3524.08,298,6,1,4661.0
media,2791.06,426,9,1,3981.0
social,6440.5,486,11,1,4981.0
social,8665.55,661,13,1,5509.0
search,3529.73,187,5,1,8714.0
search,384.75,487,1,0,0.0
influencer,9892.77,909,21,5,37450.0
social,4950.74,546,12,1,5981.0
social,760.75,1024,4,0,0.0
social,224.81,58,0,0,0.0
social,6844.8,248,5,1,1491.0
influencer,4845.65,594,12,1,5008.0
media,6822.62,849,18,2,7030.0
jkl,0.006,0,0,0,0.0
search,26.7824,158,4,23,1972.4602
influencer,27.6304,158,3,78,2497.2636
social,216.875,1796,41,617,24625.3234
search,0.067,1,0,0,0.0
influencer,0.0249,0,0,0,0.0
social,0.4044,10,0,3,101.7494
search,1.8899,4,0,4,100.5044
influencer,0.9917,9,0,0,0.0
social,11.1678,185,4,13,653.1896
search,50.5157,309,8,105,4288.6699
influencer,351.9167,10237,242,2513,119601.4208
jkl,30.2386,678,16,173,10402.0618
social,432.5858,2120,54,805,39654.6687
search,0.0997,2,0,0,0.0
influencer,0.904,7,0,2,145.5734
jkl,0.1743,1,0,1,211.5323
social,0.4418,3,0,0,0.0
search,2.3886,30,0,3,14.6254
influencer,22.1996,696,17,82,5851.2447
jkl,2.2328,45,1,5,392.7653
social,16.6353,158,4,28,1735.5801
jkl,0.0225,0,0,0,0.0
search,54.8999,286,7,99,4844.9065
influencer,42.1673,1164,29,364,20272.775
jkl,5.495,82,2,27,1304.4818
social,336.111,2042,48,754,45839.9536
search,0.1226,2,0,0,0.0
influencer,0.0661,1,0,0,0.0
jkl,0.017,0,0,0,0.0
social,0.7599,15,0,7,1864.6591
search,3.8013,30,0,6,573.1474
influencer,1.8454,82,2,1,29.2134
jkl,0.3841,4,0,1,14.1537
social,17.3368,184,4,12,1323.659
search,0.7543,2,0,1,30.8236
influencer,0.1835,0,0,0,0.0
jkl,0.0045,1,0,0,0.0
social,2.5521,7,0,0,0.0
search,0.0015,1,0,0,0.0
social,0.002,0,0,0,0.0
search,0.0102,0,0,0,0.0
influencer,0.0055,0,0,0,0.0
social,0.1096,0,0,0,0.0
social,132.7561,1043,24,401,15561.6075
social,0.1722,6,0,1,45.9209
social,6.0088,60,1,8,767.8439
search,8.8886,56,1,39,776.4618
influencer,16.8185,165,3,63,2214.2764
jkl,0.308,3,0,0,0.0
social,31.6511,176,4,92,3989.2796
search,0.0111,1,0,0,0.0
influencer,0.0135,0,0,0,0.0
jkl,0.0015,0,0,0,0.0
social,0.0204,1,0,0,0.0
search,0.3654,7,0,0,0.0
influencer,0.9526,9,0,2,183.3429
jkl,0.058,0,0,0,0.0
social,1.3976,13,0,0,0.0
jkl,0.0284,0,0,0,0.0
search,74.7667,410,10,121,6710.2429
influencer,292.8014,3384,82,1179,59726.9939
jkl,13.5669,254,6,93,5418.0655
social,424.0715,2961,73,1239,57545.6564
search,0.1407,4,0,0,0.0
influencer,0.4347,3,0,0,0.0
jkl,0.06,0,0,0,0.0
social,1.099,10,0,1,12.7891
jkl,0.0015,0,0,0,0.0
search,3.8733,34,0,1,72.0659
influencer,13.1693,179,4,32,1587.3458
jkl,1.1191,31,0,2,85.7347
social,23.4219,309,7,31,2749.2091
social,0.0235,1,0,0,0.0
social,0.0017,0,0,0,0.0
search,0.5595,21,0,0,0.0
influencer,0.1207,1,0,0,0.0
social,5.9831,367,9,3,66.5661
jkl,0.0085,0,0,0,0.0
search,5.1608,321,8,4,269.4696
influencer,3.7891,58,1,3,236.7731
social,45.9527,3611,91,56,2923.7718
search,1.4582,51,1,0,0.0
influencer,18.3079,574,13,10,1003.2078
jkl,1.6423,48,1,0,0.0
social,4.5533,209,5,0,0.0
search,13.582,886,23,4,166.4344
influencer,184.0818,10390,259,146,12485.0212
jkl,13.0473,755,18,18,916.0838
social,61.6561,2720,64,39,3724.3667
jkl,0.0061,1,0,0,0.0
search,1.497,44,1,0,0.0
influencer,2.6398,86,2,2,141.2879
jkl,0.072,0,0,0,0.0
social,9.1632,498,13,1,12.9709
jkl,0.017,0,0,0,0.0
search,14.1625,401,9,14,839.2774
influencer,20.8269,1426,33,38,2771.717
jkl,1.318,19,0,0,0.0
social,73.5196,3328,90,52,6350.6364
search,0.0244,0,0,0,0.0
influencer,0.0027,0,0,0,0.0
social,0.0259,2,0,0,0.0
search,0.2195,9,0,0,0.0
influencer,0.0625,0,0,0,0.0
jkl,0.0025,0,0,0,0.0
social,0.2878,5,0,0,0.0
social,2.4409,245,6,0,0.0
social,22.7809,1766,43,18,1683.7638
search,0.1107,3,0,0,0.0
influencer,0.2683,5,0,0,0.0
jkl,0.0253,0,0,0,0.0
social,0.2915,24,0,0,0.0
search,1.6338,40,1,0,0.0
influencer,4.9835,102,2,5,359.4609
jkl,0.3253,13,0,0,0.0
social,3.8768,252,6,6,253.8565
search,1.6025,74,1,1,22.7769
influencer,3.1095,37,0,1,11.7896
jkl,0.5564,13,0,0,0.0
social,9.4151,666,16,5,523.5354
jkl,0.0117,0,0,0,0.0
search,15.2085,722,18,8,930.7221
influencer,63.9296,1515,39,53,3942.6278
jkl,6.0226,228,5,10,1160.8372
social,79.3017,5323,124,63,38386.9424
social,0.0112,2,0,0,0.0
search,0.5795,4,0,0,0.0
influencer,0.027,0,0,0,0.0
social,5.018,50,1,1,532.0745
jkl,0.0093,0,0,0,0.0
search,0.6988,21,0,0,0.0
influencer,0.046,0,0,0,0.0
social,2.2941,167,4,0,0.0
jkl,0.0064,0,0,0,0.0
search,1.4853,51,1,1,9.6979
influencer,0.0723,1,0,0,0.0
social,8.5739,533,12,13,1195.3097
search,1.5326,13,0,1,128.4186
influencer,7.402,67,1,2,458.0165
jkl,2.4892,33,0,4,145.7912
social,8.8753,62,1,9,446.8068
search,0.7765,17,0,0,0.0
influencer,2.6574,31,0,0,0.0
jkl,0.1932,8,0,0,0.0
social,0.6839,34,0,0,0.0
search,2.7446,86,2,0,0.0
influencer,13.865,315,7,3,339.5186
jkl,1.8812,61,1,0,0.0
social,4.4489,180,4,2,201.9655
search,1.7042,19,0,0,0.0
influencer,0.7603,13,0,0,0.0
jkl,0.1758,1,0,0,0.0
social,8.1757,94,2,7,768.5861
jkl,0.0025,0,0,0,0.0
search,0.9557,63,1,0,0.0
influencer,0.4489,9,0,0,0.0
jkl,0.0011,0,0,0,0.0
social,2.7654,118,3,7,463.3167
jkl,0.008,1,0,0,0.0
search,2.9495,126,3,1,3.9307
influencer,1.5827,69,1,0,0.0
jkl,0.0227,1,0,0,0.0
social,9.17,418,10,3,216.6186
search,0.0177,0,0,0,0.0
influencer,0.0003,0,0,0,0.0
social,0.0217,0,0,0,0.0
search,0.0141,0,0,0,0.0
influencer,0.0015,0,0,0,0.0
social,0.0036,0,0,0,0.0
search,0.0278,3,0,0,0.0
influencer,0.0027,0,0,0,0.0
social,0.0148,1,0,0,0.0
social,3.1057,32,0,0,0.0
social,0.752,73,1,0,0.0
social,3.0873,248,6,1,66.9636
search,0.1478,0,0,0,0.0
influencer,0.0928,1,0,0,0.0
jkl,0.0178,0,0,0,0.0
social,0.3535,2,0,0,0.0
search,0.0392,3,0,0,0.0
influencer,0.0411,0,0,0,0.0
jkl,0.0026,0,0,0,0.0
social,0.0522,8,0,0,0.0
search,0.3211,8,0,0,0.0
influencer,0.1441,1,0,0,0.0
jkl,0.0445,2,0,0,0.0
social,0.2922,5,0,0,0.0
search,1.6849,23,0,1,185.3349
influencer,1.4142,7,0,0,0.0
jkl,0.7769,8,0,0,0.0
social,7.8852,105,2,9,462.9524
jkl,0.0021,0,0,0,0.0
search,1.1348,63,1,0,0.0
influencer,0.5864,4,0,0,0.0
jkl,0.0445,0,0,0,0.0
social,3.836,316,8,2,561.1487
jkl,0.003,0,0,0,0.0
search,3.4209,146,3,1,8.6485
influencer,1.6859,17,0,0,0.0
jkl,0.617,9,0,0,0.0
social,12.3332,707,17,1,136.5586
social,0.0001,0,0,0,0.0
social,0.0,0,0,0,0.0
jkl,0.005,0,0,0,0.0
search,19.7963,140,3,26,1921.272
influencer,26.2022,151,3,59,3860.1421
social,180.7481,1509,34,542,23994.6771
search,0.039,0,0,0,0.0
influencer,0.0131,0,0,0,0.0
social,0.3635,3,0,2,51.5584
search,0.953,2,0,0,0.0
influencer,0.8465,3,0,0,0.0
social,8.2093,159,3,37,2403.4922
search,43.9118,305,7,43,3552.283
influencer,275.3454,7767,202,2187,113046.5668
jkl,24.8181,528,12,175,8840.9398
social,312.1415,1633,39,672,31683.7408
search,0.0556,1,0,0,0.0
influencer,0.7412,18,0,3,126.8199
jkl,0.1325,1,0,0,0.0
social,0.3519,3,0,0,0.0
search,1.8911,12,0,1,13.3345
influencer,14.406,436,11,40,1973.808
jkl,1.7273,43,0,8,424.1517
social,9.845,118,3,24,1376.4896
jkl,0.0165,0,0,0,0.0
search,45.4333,277,7,102,4162.0391
influencer,46.7762,1325,34,361,14883.7289
jkl,2.8429,26,0,13,971.9768
social,275.17,1844,46,896,77490.5358
jkl,0.0008,0,0,0,0.0
search,0.1294,3,0,0,0.0
influencer,0.1213,5,0,0,0.0
jkl,0.0077,0,0,0,0.0
social,0.4702,6,0,0,0.0
jkl,0.002,0,0,0,0.0
search,2.9404,22,0,2,58.5481
influencer,1.9555,99,2,10,88.1188
jkl,0.1307,1,0,1,150.8711
social,11.9484,142,3,14,520.8722
search,0.5295,4,0,0,0.0
influencer,0.1354,0,0,0,0.0
jkl,0.0057,0,0,0,0.0
social,1.7688,9,0,17,1808.8476
search,0.0004,0,0,0,0.0
social,0.0016,0,0,0,0.0
search,0.0349,0,0,0,0.0
influencer,0.0104,0,0,0,0.0
social,0.0785,0,0,0,0.0
social,110.5201,889,23,453,19132.9713
social,0.1191,5,0,0,0.0
social,3.9015,48,1,5,144.5778
search,7.9513,49,1,30,576.9186
influencer,12.9019,135,3,99,2985.5434
jkl,0.1868,1,0,0,0.0
social,22.8296,146,3,51,2221.0902
search,0.0069,1,0,0,0.0
influencer,0.0105,1,0,0,0.0
social,0.021,0,0,0,0.0
search,0.3983,9,0,0,0.0
influencer,0.6479,5,0,0,0.0
jkl,0.0207,0,0,0,0.0
social,0.7487,16,0,1,241.2338
jkl,0.0176,0,0,0,0.0
search,76.9999,442,10,130,7581.738
influencer,266.9145,2910,73,1064,47941.3027
jkl,10.2019,176,4,82,1995.7442
social,339.7693,2384,64,912,44394.7214
search,0.122,1,0,0,0.0
influencer,0.3279,4,0,1,218.2788
jkl,0.0422,0,0,0,0.0
social,0.6476,9,0,4,230.4656
search,3.4406,27,0,6,167.133
influencer,10.9614,116,2,18,693.3314
jkl,0.8353,22,0,2,125.6464
social,17.6408,218,5,42,1589.2214
social,0.0038,0,0,0,0.0
search,0.4525,19,0,0,0.0
influencer,0.1353,5,0,0,0.0
social,6.4353,425,11,0,0.0
jkl,0.0007,0,0,0,0.0
search,4.472,225,5,3,134.3125
influencer,3.5077,42,1,0,0.0
social,44.2336,4033,106,22,1214.7213
search,1.3907,47,1,0,0.0
influencer,13.8797,431,9,4,189.1079
jkl,1.6288,55,1,1,37.8933
social,4.4069,221,5,3,518.4353
search,12.8383,809,20,4,277.7942
influencer,138.1988,8098,212,128,12831.1765
jkl,12.0469,668,16,8,547.2576
social,47.6149,2199,51,21,1179.8776
jkl,0.0008,0,0,0,0.0
search,1.4426,62,1,0,0.0
influencer,3.0733,111,2,1,236.4494
jkl,0.0237,0,0,0,0.0
social,6.8814,400,10,2,172.0206
jkl,0.0135,0,0,0,0.0
search,12.8919,424,9,8,671.5113
influencer,24.1564,1663,38,12,1950.9304
jkl,0.5741,7,0,2,124.0086
social,56.5878,2876,70,36,1878.5456
search,0.0319,2,0,0,0.0
influencer,0.0007,0,0,0,0.0
social,0.0303,2,0,0,0.0
search,0.174,8,0,0,0.0
influencer,0.0355,0,0,0,0.0
jkl,0.007,0,0,0,0.0
social,0.2532,30,0,0,0.0
social,2.5313,300,7,3,279.6255
social,20.2326,1991,48,29,1374.6566
search,0.0748,3,0,0,0.0
influencer,0.1769,4,0,0,0.0
jkl,0.018,1,0,0,0.0
social,0.2837,40,0,0,0.0
search,1.3351,52,1,0,0.0
influencer,4.1819,86,2,1,16.7004
jkl,0.2131,3,0,0,0.0
social,3.4554,199,5,5,327.6117
search,1.8648,83,2,0,0.0
influencer,3.2628,56,1,0,0.0
jkl,0.4937,21,0,1,73.946
social,7.1139,639,15,4,455.2184
jkl,0.0045,0,0,0,0.0
search,17.8118,733,17,13,836.4004
influencer,57.6423,1275,32,51,4480.7984
jkl,4.6824,182,4,3,89.1505
social,62.9539,5001,122,92,5268.1471
social,0.0,0,0,0,0.0
social,0.005,0,0,0,0.0
search,0.484,4,0,0,0.0
influencer,0.0305,0,0,0,0.0
social,4.5295,59,1,1,150.6132
search,0.5722,28,0,0,0.0
influencer,0.0477,0,0,0,0.0
social,2.1724,128,3,0,0.0
jkl,0.0025,0,0,0,0.0
search,1.2937,45,1,0,0.0
influencer,0.0655,0,0,0,0.0
social,8.9646,423,10,2,78.9755
search,1.3503,7,0,0,0.0
influencer,5.8918,70,1,7,1798.2409
jkl,2.4656,23,0,1,15.7847
social,7.2244,46,1,7,795.1716
search,0.6932,20,0,0,0.0
influencer,2.2091,20,0,0,0.0
jkl,0.3028,12,0,0,0.0
social,0.6779,24,0,0,0.0
search,2.5777,106,2,1,43.816
influencer,11.4173,268,6,3,816.7081
jkl,2.5462,57,1,1,47.1738
social,3.7999,190,4,1,257.6892
jkl,0.006,0,0,0,0.0
search,1.536,17,0,1,122.4997
influencer,0.8523,21,0,1,50.1915
jkl,0.1142,0,0,0,0.0
social,7.7584,109,2,8,364.2366
jkl,0.005,0,0,0,0.0
search,1.0693,57,1,0,0.0
influencer,0.5262,16,0,0,0.0
jkl,0.0002,0,0,0,0.0
social,2.1283,116,2,1,67.7043
jkl,0.002,0,0,0,0.0
search,3.2141,155,3,0,0.0
influencer,1.7313,100,2,6,404.5884
jkl,0.0146,1,0,0,0.0
social,8.1166,394,10,1,18.3897
search,0.0195,0,0,0,0.0
influencer,0.0011,0,0,0,0.0
social,0.0199,0,0,0,0.0
search,0.0145,1,0,0,0.0
influencer,0.0011,0,0,0,0.0
social,0.0026,0,0,0,0.0
search,0.0409,2,0,0,0.0
influencer,0.0023,0,0,0,0.0
social,0.0128,0,0,0,0.0
social,2.9994,60,1,4,1872.3933
social,0.7727,69,1,0,0.0
social,2.9882,260,6,0,0.0
search,0.1343,1,0,1,47.1867
influencer,0.0807,1,0,0,0.0
jkl,0.022,0,0,0,0.0
social,0.3542,2,0,0,0.0
search,0.0384,2,0,0,0.0
influencer,0.0224,0,0,0,0.0
jkl,0.0011,0,0,0,0.0
social,0.0559,7,0,0,0.0
search,0.2978,8,0,0,0.0
influencer,0.108,0,0,0,0.0
jkl,0.0418,0,0,0,0.0
social,0.2777,8,0,0,0.0
jkl,0.0029,0,0,0,0.0
search,1.9523,19,0,7,496.1247
influencer,1.2833,13,0,1,19.7696
jkl,0.7641,5,0,0,0.0
social,7.0117,81,1,4,120.5266
search,1.5838,53,1,0,0.0
influencer,0.4663,2,0,0,0.0
jkl,0.0437,1,0,0,0.0
social,2.8693,257,6,0,0.0
jkl,0.0045,0,0,0,0.0
search,4.4763,202,4,1,92.9548
influencer,1.7225,19,0,1,300.7363
jkl,0.6901,17,0,0,0.0
social,10.3721,622,14,2,116.4644
social,0.0007,0,0,0,0.0
social,0.0005,0,0,0,0.0
social,0.0001,0,0,0,0.0
jkl,0.0074,0,0,0,0.0
search,23.7138,175,4,22,1201.0775
influencer,29.1636,151,3,51,2611.986
social,205.8287,1573,36,732,29422.6545
jkl,0.0007,0,0,0,0.0
search,0.0548,0,0,0,0.0
influencer,0.0397,0,0,0,0.0
social,0.3741,5,0,0,0.0
search,1.1582,5,0,0,0.0
influencer,1.081,3,0,0,0.0
social,8.4902,142,3,12,993.1305
search,49.3065,342,8,99,5344.1679
influencer,312.8761,8761,205,2733,131937.9849
jkl,29.3397,657,17,221,11749.0646
social,368.1842,1887,50,634,28092.8276
search,0.0675,4,0,0,0.0
influencer,0.977,25,0,1,95.4309
jkl,0.1515,4,0,2,992.3784
social,0.335,4,0,0,0.0
search,2.1649,13,0,1,15.8303
influencer,18.0738,516,13,79,4559.3101
jkl,2.0907,34,0,2,321.873
social,11.3903,95,2,18,958.9188
jkl,0.011,0,0,0,0.0
search,48.5126,203,5,149,8534.6273
influencer,49.3001,1434,34,436,20309.1481
jkl,2.8086,31,0,9,365.735
